gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Liver)	pct_gene_expr	max_pct_tx_expr
FBXO9	4.2508800652940486e-5	1	8	0	-0.2607065122041635	1	1
CD36	3.8665078201718584e-7	0.03739327109970226	9	2	0.260517152060878	1	1
PDCD6IP	0.0012798582575668312	0.41902644735407324	9	0	0.2600610612893949	1	1
ITSN1	5.592282912103113e-4	0.8970482538096521	14	0	0.2599489552161836	1	1
AGL	0.004434019741188277	0.06779489955797408	8	0	-0.25967377485266757	1	1
OXR1	8.887635716328609e-4	0.009320088488924098	7	1	0.2589403297868106	1	1
EFR3A	0.04013490843489594	0.8601902773252612	6	0	0.257208131973627	1	1
MIA3	3.430935260341665e-4	1	10	0	0.2555038738299422	1	1
MFF	1.2759605151430663e-4	1	15	0	-0.25496708677852015	1	1
RIC1	0.049747817322901566	1	5	0	-0.25421179009232414	1	1
STAC3	2.563877531304273e-4	0.8538584822028	8	0	0.253642084181019	1	0.75
RAI14	1.7232323996859672e-4	1	13	0	-0.2532114186535593	1	1
SRSF5	0.03029870925378138	0.7144187127020073	8	0	0.25312983411328177	1	1
APPL1	0.04838942834155931	1	7	0	-0.25141832667304115	1	1
L3MBTL3	0.040735678298216615	1	6	0	-0.2506636276395649	1	1
RPS24	0.001239101375929033	0.004583867717969705	3	1	-0.24963014550147233	1	1
TNKS1BP1	0.005645145897773557	9.94767855606917e-4	3	1	-0.24726758237188073	1	1
VCP	2.2330122950111388e-4	2.421406570916091e-6	4	1	0.24628658277306315	1	1
MYLK	8.897092442673992e-5	0.1744462963287353	8	0	0.2462112941889224	1	1
UBR3	1.941844658136237e-4	0.17467100776739844	3	0	0.24601526162164056	1	1
APEH	0.01698787988384016	1	6	0	0.24287642601406342	1	1
ATP2C1	0.019326376475644162	1	11	0	-0.24165828674237477	1	1
USP15	0.016496676118581192	1	14	0	-0.24037289668535372	1	1
LOC113250431	9.849088578215261e-5	2.709843015615038e-6	3	1	-0.23974452534116197	1	1
BZW2	0.007197325868712034	0.0029249191342068178	3	1	0.23765880674090645	1	1
KAT2B	1.6030317542873554e-4	8.650244695138214e-4	5	2	0.2374070833758844	1	1
TBC1D14	8.775622098388158e-4	1	9	0	0.2362393227624289	1	1
RBM39	0.041772255340874566	0.011004371561501157	8	1	0.23493417052084237	1	1
MYO1B	6.195046778831992e-10	0.004131260892262132	7	1	-0.2338980983897556	1	1
LOC113242918	0.014118126703905163	0.14935378861202714	7	0	-0.2261717818191858	1	1
HSDL2	7.428630892882591e-11	3.230790324770483e-9	5	1	0.2251804226362719	1	1
ATP6V1B2	0.04320423265845233	1	3	0	-0.2216766467483242	1	1
UBE2G1	0.04381851050280751	0.38946633910743345	4	0	0.2196970704952559	1	1
PLA1A	0.008862100485925114	1	9	0	0.21906318282772974	1	1
DARS	1.1871249794758515e-5	1	7	0	0.21736836188079764	1	1
KIAA1191	0.003754359660160076	0.33843037265468806	8	0	0.2121886436068295	1	1
CDC42BPA	5.68859826208115e-4	0.9498258845104038	6	0	0.20720159351207076	1	1
TRIP12	0.0017428810127010838	1	11	0	-0.2055458836171088	1	1
GAA	0.01845293056362229	1	12	0	-0.2022214678826805	1	1
PPARA	0.04518430257181674	1	5	0	0.20087851184007055	1	1
YBX1	0.006131541461064517	0	2	2	-0.19915554328956508	1	1
NCOR1	0.04153873671630116	0.9625388335479912	8	0	-0.18921736235276404	1	1
LOC113246349	1.2365731186118927e-4	0.0010576118442611432	5	2	-0.1860132320022444	1	1
SF3B1	0.02745371928054112	0.7840777786603932	10	0	0.18487939266579612	1	1
ND4	0.03311398881160294	0.005590145223402979	3	1	0.18411601413075118	1	1
ARNT	0.029848917821096832	1	9	0	0.18350756874999974	1	1
DCAF8	0.03530093079419765	1	9	0	0.18239023253145287	1	1
LOC113253249	3.8851107694194305e-13	0.0013704401570268567	5	1	0.18236797572210173	1	1
FLII	0.027618977614119716	1	5	0	0.18066188864358818	1	1
BRD2	0.041406031425106654	1	11	0	0.17363187638194127	1	1
FOXN2	0.04082616936733895	1	6	0	-0.168799669145583	1	1
UBE2D3	0.03401398067315842	1	8	0	0.1653357237031392	1	1
TMEM150A	0.017281464148256428	1	10	0	-0.16436923938858444	1	1
ALDH9A1	0.018613094949648634	0.0029272786599702765	5	1	-0.1566804666924877	1	1
GRB10	0.020452503822459035	0.4425426375741042	5	0	0.15131136794864464	1	1
CHPT1	0.018613094949648634	1	3	0	0.1491990180747128	1	1
RBMX	0.03681460605840279	1	5	0	0.14828306028472157	1	1
NFE2L1	6.352084643380069e-4	1	6	0	0.1471448904001905	1	1
COX3	0.045422983391991315	0	2	2	0.14611948239032047	1	1
APC	0.03499675018354637	1	6	0	-0.1457929112188041	1	1
HDGF	0.004860836515517054	1	4	0	0.14547096466848386	1	1
CCDC93	0.0260623224938675	1	5	0	-0.1437234245360865	1	1
PCBP2	6.8653783642886504e-6	1	11	0	0.1430447238779549	1	1
CMBL	0.0483050197737727	1	6	0	0.14201422044878478	1	1
