txid	geneid	name	chr
rna27894	gene15603	CDHR2	NW_020656150.1
rna27896	gene15604	GPRIN1	NW_020656150.1
rna27897	gene15605	SNCB	NW_020656150.1
rna27899	gene15606	EIF4E1B	NW_020656150.1
rna27900	gene15607	TSPAN17	NW_020656150.1
rna27901	gene15608	UNC5A	NW_020656150.1
rna27903	gene15609	HK3	NW_020656150.1
rna27904	gene15610	UIMC1	NW_020656150.1
rna27907	gene15611	ZNF346	NW_020656150.1
rna27912	gene15612	FGFR4	NW_020656150.1
rna27913	gene15613	NSD1	NW_020656150.1
rna27924	gene15615	RAB24	NW_020656150.1
rna27926	gene15616	PRELID1	NW_020656150.1
rna27928	gene15617	MXD3	NW_020656150.1
rna27931	gene15619	LMAN2	NW_020656150.1
rna2692	gene1562	EEPD1	NW_020656122.1
rna27932	gene15620	RGS14	NW_020656150.1
rna27939	gene15622	SLC34A1	NW_020656150.1
rna27942	gene15623	PFN3	NW_020656150.1
rna27944	gene15624	F12	NW_020656150.1
rna27946	gene15625	GRK6	NW_020656150.1
rna27949	gene15626	PRR7	NW_020656150.1
rna27951	gene15627	DBN1	NW_020656150.1
rna27954	gene15628	LOC113263894	NW_020656150.1
rna27960	gene15629	PDLIM7	NW_020656150.1
rna27965	gene15630	DOK3	NW_020656150.1
rna27967	gene15631	DDX41	NW_020656150.1
rna27970	gene15632	FAM193B	NW_020656150.1
rna27978	gene15634	LOC113264179	NW_020656151.1
rna27979	gene15636	LOC113264211	NW_020656151.1
rna27980	gene15637	LOC113264180	NW_020656151.1
rna27981	gene15639	LOC113264181	NW_020656151.1
rna27982	gene15640	LOC113264213	NW_020656151.1
rna27983	gene15641	LOC113264182	NW_020656151.1
rna27984	gene15642	LOC113264183	NW_020656151.1
rna27987	gene15645	LOC113264248	NW_020656151.1
rna27988	gene15646	LOC113264249	NW_020656151.1
rna27989	gene15647	LOC113264214	NW_020656151.1
rna27990	gene15648	LOC113264294	NW_020656151.1
rna27991	gene15649	LOC113264263	NW_020656151.1
rna2697	gene1565	KIAA0895	NW_020656122.1
rna27992	gene15650	LOC113264278	NW_020656151.1
rna27993	gene15651	LOC113264290	NW_020656151.1
rna27994	gene15652	LOC113264285	NW_020656151.1
rna27996	gene15653	LOC113264260	NW_020656151.1
rna27997	gene15654	LOC113264292	NW_020656151.1
rna27998	gene15655	LOC113264295	NW_020656151.1
rna27999	gene15656	LOC113264287	NW_020656151.1
rna28000	gene15657	LOC113264281	NW_020656151.1
rna28001	gene15658	LOC113264300	NW_020656151.1
rna28002	gene15659	LOC113264277	NW_020656151.1
rna2698	gene1566	ANLN	NW_020656122.1
rna28003	gene15660	LOC113264286	NW_020656151.1
rna2700	gene1568	AOAH	NW_020656122.1
rna28043	gene15697	ZNF184	NW_020656151.1
rna28059	gene15698	ZNF391	NW_020656151.1
rna28060	gene15699	LOC113264253	NW_020656151.1
rna330	gene157	FAM243A	NW_020656121.1
rna2704	gene1570	ELMO1	NW_020656122.1
rna28063	gene15702	POM121L2	NW_020656151.1
rna28075	gene15714	PRSS16	NW_020656151.1
rna28081	gene15720	LOC113264215	NW_020656151.1
rna28089	gene15729	LOC113264217	NW_020656151.1
rna28091	gene15731	LOC113264261	NW_020656151.1
rna2709	gene1574	GPR141	NW_020656122.1
rna28107	gene15743	ZNF322	NW_020656151.1
rna28112	gene15745	ABT1	NW_020656151.1
rna2710	gene1575	THAP5	NW_020656122.1
rna28125	gene15757	HMGN4	NW_020656151.1
rna2711	gene1576	DNAJB9	NW_020656122.1
rna28135	gene15762	BTN1A1	NW_020656151.1
rna28136	gene15763	LOC113264301	NW_020656151.1
rna28152	gene15779	LOC113264218	NW_020656151.1
rna28153	gene15780	LOC113264289	NW_020656151.1
rna28154	gene15781	LOC113264275	NW_020656151.1
rna28155	gene15782	LOC113264288	NW_020656151.1
rna28156	gene15783	LOC113264299	NW_020656151.1
rna28157	gene15784	LOC113264219	NW_020656151.1
rna28158	gene15785	LOC113264264	NW_020656151.1
rna28160	gene15786	LOC113264276	NW_020656151.1
rna28161	gene15787	LOC113264284	NW_020656151.1
rna28162	gene15788	LOC113264283	NW_020656151.1
rna28163	gene15789	LOC113264266	NW_020656151.1
rna28164	gene15790	LOC113264274	NW_020656151.1
rna28165	gene15791	LOC113264282	NW_020656151.1
rna28168	gene15792	LOC113264269	NW_020656151.1
rna28169	gene15793	LOC113264291	NW_020656151.1
rna28172	gene15794	HFE	NW_020656151.1
rna28179	gene15796	LOC113264268	NW_020656151.1
rna28180	gene15797	LOC113264273	NW_020656151.1
rna28181	gene15798	LOC113264280	NW_020656151.1
rna28182	gene15799	LOC113264272	NW_020656151.1
rna333	gene158	SMIM11A	NW_020656121.1
rna28183	gene15800	LOC113264279	NW_020656151.1
rna28184	gene15801	LOC113264270	NW_020656151.1
rna28185	gene15802	LOC113264296	NW_020656151.1
rna28186	gene15803	LOC113264302	NW_020656151.1
rna28187	gene15804	LOC113264267	NW_020656151.1
rna28191	gene15807	TRIM38	NW_020656151.1
rna28192	gene15808	SLC17A2	NW_020656151.1
rna28196	gene15809	SLC17A3	NW_020656151.1
rna2717	gene1581	IMMP2L	NW_020656122.1
rna28197	gene15810	SLC17A1	NW_020656151.1
rna28206	gene15811	SLC17A4	NW_020656151.1
rna28207	gene15812	LOC113264318	NW_020656151.1
rna28209	gene15813	LOC113264317	NW_020656151.1
rna28210	gene15814	LOC113264320	NW_020656151.1
rna28211	gene15815	LOC113264221	NW_020656151.1
rna28212	gene15816	SCGN	NW_020656151.1
rna28214	gene15817	CARMIL1	NW_020656151.1
rna28218	gene15818	LOC113264322	NW_020656151.1
rna28221	gene15819	RIPOR2	NW_020656151.1
rna2725	gene1582	LRRN3	NW_020656122.1
rna28228	gene15822	ARMH2	NW_020656151.1
rna28229	gene15823	GMNN	NW_020656151.1
rna28231	gene15826	CUNH6orf62	NW_020656151.1
rna28232	gene15827	ACOT13	NW_020656151.1
rna28233	gene15828	TDP2	NW_020656151.1
rna28234	gene15829	KIAA0319	NW_020656151.1
rna28235	gene15830	ALDH5A1	NW_020656151.1
rna28237	gene15831	GPLD1	NW_020656151.1
rna28240	gene15832	MRS2	NW_020656151.1
rna28243	gene15835	POU5F1	NW_020656151.1
rna28244	gene15836	TCF19	NW_020656151.1
rna28252	gene15837	CCHCR1	NW_020656151.1
rna28253	gene15838	PSORS1C2	NW_020656151.1
rna28254	gene15839	CDSN	NW_020656151.1
rna28255	gene15840	CUNH6orf15	NW_020656151.1
rna28258	gene15842	LOC113264224	NW_020656151.1
rna28259	gene15843	LOC113264225	NW_020656151.1
rna28260	gene15844	MUCL3	NW_020656151.1
rna28261	gene15845	SFTA2	NW_020656151.1
rna28263	gene15846	VARS2	NW_020656151.1
rna28265	gene15847	GTF2H4	NW_020656151.1
rna28270	gene15848	DDR1	NW_020656151.1
rna2728	gene1585	DOCK4	NW_020656122.1
rna28280	gene15853	IER3	NW_020656151.1
rna28284	gene15854	FLOT1	NW_020656151.1
rna28285	gene15855	TUBB	NW_020656151.1
rna28288	gene15856	MDC1	NW_020656151.1
rna28296	gene15857	NRM	NW_020656151.1
rna28297	gene15858	PPP1R18	NW_020656151.1
rna28298	gene15859	DHX16	NW_020656151.1
rna2729	gene1586	ZNF277	NW_020656122.1
rna28300	gene15860	CUNH6orf136	NW_020656151.1
rna28302	gene15861	LOC113264362	NW_020656151.1
rna28305	gene15862	ATAT1	NW_020656151.1
rna28311	gene15863	MRPS18B	NW_020656151.1
rna28312	gene15864	PPP1R10	NW_020656151.1
rna28317	gene15865	ABCF1	NW_020656151.1
rna28318	gene15866	PRR3	NW_020656151.1
rna28320	gene15867	GNL1	NW_020656151.1
rna28321	gene15868	RPP21	NW_020656151.1
rna28323	gene15869	LOC113264370	NW_020656151.1
rna2731	gene1587	IFRD1	NW_020656122.1
rna28329	gene15871	LOC113264228	NW_020656151.1
rna28331	gene15873	DUSP22	NW_020656151.1
rna28337	gene15875	IRF4	NW_020656151.1
rna28341	gene15876	EXOC2	NW_020656151.1
rna28344	gene15877	HUS1B	NW_020656151.1
rna28346	gene15879	FOXQ1	NW_020656151.1
rna2732	gene1588	LSMEM1	NW_020656122.1
rna28347	gene15880	FOXF2	NW_020656151.1
rna28348	gene15882	FOXC1	NW_020656151.1
rna28349	gene15883	GMDS	NW_020656151.1
rna28353	gene15887	MYLK4	NW_020656151.1
rna28355	gene15888	WRNIP1	NW_020656151.1
rna28356	gene15889	SERPINB1	NW_020656151.1
rna28364	gene15891	SERPINB9	NW_020656151.1
rna28366	gene15893	SERPINB6	NW_020656151.1
rna28372	gene15895	NQO2	NW_020656151.1
rna28375	gene15897	RIPK1	NW_020656151.1
rna28380	gene15898	BPHL	NW_020656151.1
rna334	gene159	KCNE2	NW_020656121.1
rna2733	gene1590	TMEM168	NW_020656122.1
rna28385	gene15900	LOC113264400	NW_020656151.1
rna28386	gene15903	TUBB2B	NW_020656151.1
rna28388	gene15904	PSMG4	NW_020656151.1
rna28390	gene15905	SLC22A23	NW_020656151.1
rna28393	gene15906	LOC113264404	NW_020656151.1
rna28394	gene15907	PXDC1	NW_020656151.1
rna28396	gene15909	FAM50B	NW_020656151.1
rna2734	gene1591	BMT2	NW_020656122.1
rna28398	gene15910	PRPF4B	NW_020656151.1
rna28405	gene15911	FAM217A	NW_020656151.1
rna28406	gene15912	CUNH6orf201	NW_020656151.1
rna28407	gene15913	ECI2	NW_020656151.1
rna28418	gene15917	LOC113264233	NW_020656151.1
rna28420	gene15919	CDYL	NW_020656151.1
rna28422	gene15920	RPP40	NW_020656151.1
rna28423	gene15921	PPP1R3G	NW_020656151.1
rna28424	gene15922	LYRM4	NW_020656151.1
rna28425	gene15924	FARS2	NW_020656151.1
rna28429	gene15925	NRN1	NW_020656151.1
rna28431	gene15927	F13A1	NW_020656151.1
rna28432	gene15929	LY86	NW_020656151.1
rna28438	gene15935	RREB1	NW_020656151.1
rna28447	gene15937	SSR1	NW_020656151.1
rna28449	gene15938	CAGE1	NW_020656151.1
rna28451	gene15939	RIOK1	NW_020656151.1
rna2737	gene1594	GPR85	NW_020656122.1
rna28453	gene15942	DSP	NW_020656151.1
rna28456	gene15945	SNRNP48	NW_020656151.1
rna28457	gene15946	BMP6	NW_020656151.1
rna28458	gene15947	TXNDC5	NW_020656151.1
rna28461	gene15949	BLOC1S5	NW_020656151.1
rna2738	gene1595	SMIM30	NW_020656122.1
rna28463	gene15950	EEF1E1	NW_020656151.1
rna28464	gene15951	SLC35B3	NW_020656151.1
rna28471	gene15956	OFCC1	NW_020656151.1
rna28473	gene15957	TFAP2A	NW_020656151.1
rna28480	gene15958	LOC113264440	NW_020656151.1
rna28481	gene15959	LOC113264441	NW_020656151.1
rna28482	gene15960	CUNH6orf52	NW_020656151.1
rna28483	gene15961	PAK1IP1	NW_020656151.1
rna28484	gene15962	LOC113264443	NW_020656151.1
rna28487	gene15963	MAK	NW_020656151.1
rna28489	gene15965	GCM2	NW_020656151.1
rna28491	gene15966	SYCP2L	NW_020656151.1
rna28495	gene15969	ELOVL2	NW_020656151.1
rna28496	gene15970	SMIM13	NW_020656151.1
rna28497	gene15972	NEDD9	NW_020656151.1
rna28503	gene15975	TMEM170B	NW_020656151.1
rna28505	gene15977	ADTRP	NW_020656151.1
rna28506	gene15978	HIVEP1	NW_020656151.1
rna28510	gene15979	EDN1	NW_020656151.1
rna28515	gene15982	PHACTR1	NW_020656151.1
rna28521	gene15985	LOC113264465	NW_020656151.1
rna28525	gene15987	GFOD1	NW_020656151.1
rna28526	gene15988	SIRT5	NW_020656151.1
rna28529	gene15989	NOL7	NW_020656151.1
rna28530	gene15990	RANBP9	NW_020656151.1
rna28533	gene15993	MCUR1	NW_020656151.1
rna28536	gene15995	RNF182	NW_020656151.1
rna28538	gene15996	CD83	NW_020656151.1
rna2741	gene1600	PPP1R3A	NW_020656122.1
rna28544	gene16002	JARID2	NW_020656151.1
rna28551	gene16003	DTNBP1	NW_020656151.1
rna28554	gene16007	MYLIP	NW_020656151.1
rna28558	gene16010	GMPR	NW_020656151.1
rna28560	gene16011	ATXN1	NW_020656151.1
rna28567	gene16016	STMND1	NW_020656151.1
rna28568	gene16017	RBM24	NW_020656151.1
rna28569	gene16018	CAP2	NW_020656151.1
rna28571	gene16020	FAM8A1	NW_020656151.1
rna28572	gene16021	NUP153	NW_020656151.1
rna28577	gene16023	KIF13A	NW_020656151.1
rna28580	gene16026	NHLRC1	NW_020656151.1
rna28582	gene16027	TPMT	NW_020656151.1
rna28586	gene16028	KDM1B	NW_020656151.1
rna28590	gene16029	DEK	NW_020656151.1
rna2754	gene1603	LOC113263131	NW_020656122.1
rna28592	gene16030	RNF144B	NW_020656151.1
rna28597	gene16033	ID4	NW_020656151.1
rna28599	gene16034	MBOAT1	NW_020656151.1
rna28602	gene16036	E2F3	NW_020656151.1
rna2755	gene1604	LOC113263137	NW_020656122.1
rna28604	gene16040	CDKAL1	NW_020656151.1
rna28608	gene16046	SOX4	NW_020656151.1
rna2756	gene1605	MDFIC	NW_020656122.1
rna28616	gene16051	PRL	NW_020656151.1
rna28617	gene16052	HDGFL1	NW_020656151.1
rna28636	gene16058	NRSN1	NW_020656151.1
rna28637	gene16059	DCDC2	NW_020656151.1
rna28640	gene16062	HS3ST5	NW_020656152.1
rna28646	gene16064	HDAC2	NW_020656152.1
rna28647	gene16065	MARCKS	NW_020656152.1
rna28655	gene16073	LAMA4	NW_020656152.1
rna28657	gene16074	FAM229B	NW_020656152.1
rna28660	gene16075	TUBE1	NW_020656152.1
rna28662	gene16076	WISP3	NW_020656152.1
rna28669	gene16080	FYN	NW_020656152.1
rna28679	gene16083	TRAF3IP2	NW_020656152.1
rna28683	gene16085	REV3L	NW_020656152.1
rna28687	gene16087	MFSD4B	NW_020656152.1
rna28688	gene16088	SLC16A10	NW_020656152.1
rna28692	gene16091	RPF2	NW_020656152.1
rna28694	gene16093	GTF3C6	NW_020656152.1
rna28695	gene16094	AMD1	NW_020656152.1
rna28697	gene16096	CDK19	NW_020656152.1
rna338	gene161	MRPS6	NW_020656121.1
rna28701	gene16100	SLC22A16	NW_020656152.1
rna28702	gene16101	DDO	NW_020656152.1
rna28706	gene16102	METTL24	NW_020656152.1
rna28707	gene16103	CDC40	NW_020656152.1
rna28708	gene16104	WASF1	NW_020656152.1
rna28710	gene16105	GPR6	NW_020656152.1
rna28711	gene16106	FIG4	NW_020656152.1
rna28712	gene16107	AK9	NW_020656152.1
rna28713	gene16109	ZBTB24	NW_020656152.1
rna2763	gene1611	TFEC	NW_020656122.1
rna28718	gene16110	MICAL1	NW_020656152.1
rna28722	gene16111	SMPD2	NW_020656152.1
rna28723	gene16112	PPIL6	NW_020656152.1
rna28727	gene16114	CD164	NW_020656152.1
rna28728	gene16115	LOC113264754	NW_020656152.1
rna28731	gene16118	LOC113264690	NW_020656152.1
rna28732	gene16119	LOC113264756	NW_020656152.1
rna2767	gene1612	TES	NW_020656122.1
rna28741	gene16120	CEP57L1	NW_020656152.1
rna28743	gene16121	SESN1	NW_020656152.1
rna28745	gene16122	ARMC2	NW_020656152.1
rna28749	gene16124	FOXO3	NW_020656152.1
rna28752	gene16126	AFG1L	NW_020656152.1
rna28756	gene16127	SNX3	NW_020656152.1
rna28758	gene16129	NR2E1	NW_020656152.1
rna28759	gene16130	OSTM1	NW_020656152.1
rna28760	gene16133	SEC63	NW_020656152.1
rna28762	gene16134	SCML4	NW_020656152.1
rna28767	gene16135	SOBP	NW_020656152.1
rna28769	gene16136	PDSS2	NW_020656152.1
rna28774	gene16139	BEND3	NW_020656152.1
rna2769	gene1614	CAV2	NW_020656122.1
rna28775	gene16140	CUNH6orf203	NW_020656152.1
rna28802	gene16143	QRSL1	NW_020656152.1
rna28803	gene16144	RTN4IP1	NW_020656152.1
rna28806	gene16145	CRYBG1	NW_020656152.1
rna28808	gene16147	ATG5	NW_020656152.1
rna28811	gene16149	PRDM1	NW_020656152.1
rna28816	gene16153	PREP	NW_020656152.1
rna28818	gene16155	POPDC3	NW_020656152.1
rna28819	gene16156	BVES	NW_020656152.1
rna28821	gene16158	LIN28B	NW_020656152.1
rna28822	gene16159	LOC113264790	NW_020656152.1
rna2771	gene1616	CAV1	NW_020656122.1
rna28823	gene16160	HACE1	NW_020656152.1
rna2773	gene1617	MET	NW_020656122.1
rna28830	gene16172	GRIK2	NW_020656152.1
rna28833	gene16176	ASCC3	NW_020656152.1
rna28841	gene16178	SIM1	NW_020656152.1
rna28844	gene16179	MCHR2	NW_020656152.1
rna2774	gene1618	CAPZA2	NW_020656122.1
rna28845	gene16182	PRDM13	NW_020656152.1
rna28848	gene16184	CCNC	NW_020656152.1
rna28850	gene16185	TSTD3	NW_020656152.1
rna28851	gene16186	USP45	NW_020656152.1
rna28853	gene16187	PNISR	NW_020656152.1
rna28859	gene16189	COQ3	NW_020656152.1
rna28865	gene16190	FAXC	NW_020656152.1
rna28869	gene16193	FBXL4	NW_020656152.1
rna28872	gene16194	POU3F2	NW_020656152.1
rna28874	gene16197	MMS22L	NW_020656152.1
rna28875	gene16198	KLHL32	NW_020656152.1
rna339	gene162	SLC5A3	NW_020656121.1
rna28884	gene16201	NDUFAF4	NW_020656152.1
rna28885	gene16202	GPR63	NW_020656152.1
rna28888	gene16204	FHL5	NW_020656152.1
rna28893	gene16205	UFL1	NW_020656152.1
rna28894	gene16206	FUT9	NW_020656152.1
rna28899	gene16207	MANEA	NW_020656152.1
rna2779	gene1621	ST7	NW_020656122.1
rna28901	gene16215	EPHA7	NW_020656152.1
rna28908	gene16218	MAP3K7	NW_020656152.1
rna28913	gene16222	BACH2	NW_020656152.1
rna28918	gene16224	GJA10	NW_020656152.1
rna28919	gene16225	CASP8AP2	NW_020656152.1
rna28923	gene16226	MDN1	NW_020656152.1
rna28926	gene16227	LOC113264682	NW_020656152.1
rna28927	gene16229	LYRM2	NW_020656152.1
rna2788	gene1623	WNT2	NW_020656122.1
rna28934	gene16230	ANKRD6	NW_020656152.1
rna28937	gene16233	RRAGD	NW_020656152.1
rna28938	gene16234	UBE2J1	NW_020656152.1
rna28939	gene16235	GABRR2	NW_020656152.1
rna28940	gene16236	GABRR1	NW_020656152.1
rna28941	gene16237	PM20D2	NW_020656152.1
rna28944	gene16239	SRSF12	NW_020656152.1
rna2789	gene1624	ASZ1	NW_020656122.1
rna28946	gene16241	PNRC1	NW_020656152.1
rna28947	gene16242	RNGTT	NW_020656152.1
rna28948	gene16244	CNR1	NW_020656152.1
rna28950	gene16246	SPACA1	NW_020656152.1
rna2792	gene1625	CFTR	NW_020656122.1
rna28953	gene16251	AKIRIN2	NW_020656152.1
rna28957	gene16252	ORC3	NW_020656152.1
rna28959	gene16254	RARS2	NW_020656152.1
rna28962	gene16255	SLC35A1	NW_020656152.1
rna28963	gene16256	CFAP206	NW_020656152.1
rna28966	gene16257	CUNH6orf163	NW_020656152.1
rna28967	gene16258	SMIM8	NW_020656152.1
rna28968	gene16259	GJB7	NW_020656152.1
rna28969	gene16260	ZNF292	NW_020656152.1
rna28971	gene16262	LOC113264704	NW_020656152.1
rna28972	gene16264	CGA	NW_020656152.1
rna28973	gene16265	HTR1E	NW_020656152.1
rna2793	gene1627	CTTNBP2	NW_020656122.1
rna28978	gene16270	LOC113264917	NW_020656153.1
rna28980	gene16272	LOC113264940	NW_020656153.1
rna28981	gene16273	LOC113264939	NW_020656153.1
rna28982	gene16274	LOC113264875	NW_020656153.1
rna28983	gene16275	LOC113264942	NW_020656153.1
rna28984	gene16276	LOC113264876	NW_020656153.1
rna28985	gene16277	LOC113264877	NW_020656153.1
rna28986	gene16278	LOC113264878	NW_020656153.1
rna28987	gene16279	LOC113264879	NW_020656153.1
rna28988	gene16280	LOC113264881	NW_020656153.1
rna28989	gene16281	LOC113264944	NW_020656153.1
rna28990	gene16282	LOC113264943	NW_020656153.1
rna28991	gene16283	LOC113264882	NW_020656153.1
rna28992	gene16284	PTPRJ	NW_020656153.1
rna28999	gene16286	LOC113264947	NW_020656153.1
rna29000	gene16287	LOC113264918	NW_020656153.1
rna29001	gene16288	FNBP4	NW_020656153.1
rna29005	gene16289	AGBL2	NW_020656153.1
rna29009	gene16291	MTCH2	NW_020656153.1
rna29010	gene16292	C1QTNF4	NW_020656153.1
rna29012	gene16293	FAM180B	NW_020656153.1
rna29014	gene16294	NDUFS3	NW_020656153.1
rna29020	gene16295	KBTBD4	NW_020656153.1
rna29021	gene16296	PTPMT1	NW_020656153.1
rna29025	gene16298	CELF1	NW_020656153.1
rna29039	gene16299	RAPSN	NW_020656153.1
rna29041	gene16300	PSMC3	NW_020656153.1
rna29046	gene16301	SLC39A13	NW_020656153.1
rna29053	gene16304	SPI1	NW_020656153.1
rna29054	gene16305	MYBPC3	NW_020656153.1
rna29055	gene16306	MADD	NW_020656153.1
rna29066	gene16307	NR1H3	NW_020656153.1
rna29076	gene16308	ACP2	NW_020656153.1
rna29077	gene16309	DDB2	NW_020656153.1
rna2799	gene1631	LSM8	NW_020656122.1
rna29081	gene16310	PACSIN3	NW_020656153.1
rna29082	gene16311	ARFGAP2	NW_020656153.1
rna29084	gene16312	CUNH11orf49	NW_020656153.1
rna29087	gene16315	LRP4	NW_020656153.1
rna29088	gene16316	CKAP5	NW_020656153.1
rna29091	gene16318	F2	NW_020656153.1
rna29092	gene16319	ZNF408	NW_020656153.1
rna2800	gene1632	ANKRD7	NW_020656122.1
rna29093	gene16320	ARHGAP1	NW_020656153.1
rna29105	gene16321	ATG13	NW_020656153.1
rna29107	gene16322	HARBI1	NW_020656153.1
rna29108	gene16323	AMBRA1	NW_020656153.1
rna29118	gene16324	CHRM4	NW_020656153.1
rna29119	gene16325	MDK	NW_020656153.1
rna29128	gene16326	DGKZ	NW_020656153.1
rna29131	gene16328	CREB3L1	NW_020656153.1
rna29133	gene16330	PHF21A	NW_020656153.1
rna29140	gene16331	LARGE2	NW_020656153.1
rna29145	gene16332	PEX16	NW_020656153.1
rna29148	gene16333	CUNH11orf94	NW_020656153.1
rna29149	gene16334	MAPK8IP1	NW_020656153.1
rna29151	gene16335	CRY2	NW_020656153.1
rna29154	gene16336	SLC35C1	NW_020656153.1
rna29155	gene16337	LOC113264919	NW_020656153.1
rna29156	gene16338	CHST1	NW_020656153.1
rna29161	gene16342	SYT13	NW_020656153.1
rna29163	gene16343	PRDM11	NW_020656153.1
rna29165	gene16345	TP53I11	NW_020656153.1
rna29171	gene16346	TSPAN18	NW_020656153.1
rna29172	gene16347	CD82	NW_020656153.1
rna29173	gene16348	LOC113264920	NW_020656153.1
rna29174	gene16349	ALX4	NW_020656153.1
rna29175	gene16350	EXT2	NW_020656153.1
rna29177	gene16351	ACCS	NW_020656153.1
rna29181	gene16352	ACCSL	NW_020656153.1
rna29183	gene16353	CUNH11orf96	NW_020656153.1
rna29184	gene16354	ALKBH3	NW_020656153.1
rna29188	gene16355	HSD17B12	NW_020656153.1
rna29191	gene16357	TTC17	NW_020656153.1
rna29194	gene16360	API5	NW_020656153.1
rna29197	gene16365	LRRC4C	NW_020656153.1
rna29202	gene16377	CUNH11orf74	NW_020656153.1
rna29206	gene16378	RAG2	NW_020656153.1
rna29207	gene16379	RAG1	NW_020656153.1
rna2801	gene1638	LOC113263392	NW_020656122.1
rna29208	gene16380	TRAF6	NW_020656153.1
rna29211	gene16381	PRR5L	NW_020656153.1
rna29217	gene16383	COMMD9	NW_020656153.1
rna29218	gene16384	LDLRAD3	NW_020656153.1
rna29224	gene16386	TRIM44	NW_020656153.1
rna29226	gene16387	FJX1	NW_020656153.1
rna29231	gene16389	PAMR1	NW_020656153.1
rna29234	gene16391	SLC1A2	NW_020656153.1
rna29235	gene16392	CD44	NW_020656153.1
rna29248	gene16394	PDHX	NW_020656153.1
rna29249	gene16395	APIP	NW_020656153.1
rna29252	gene16396	EHF	NW_020656153.1
rna29253	gene16397	ELF5	NW_020656153.1
rna29255	gene16398	CAT	NW_020656153.1
rna2802	gene1640	LOC113263408	NW_020656122.1
rna29258	gene16401	ABTB2	NW_020656153.1
rna29260	gene16402	NAT10	NW_020656153.1
rna29261	gene16403	CAPRIN1	NW_020656153.1
rna29266	gene16407	LMO2	NW_020656153.1
rna29267	gene16408	FBXO3	NW_020656153.1
rna29268	gene16409	CD59	NW_020656153.1
rna2804	gene1641	TSPAN12	NW_020656122.1
rna29269	gene16410	CUNH11orf91	NW_020656153.1
rna29270	gene16411	KIAA1549L	NW_020656153.1
rna29274	gene16414	HIPK3	NW_020656153.1
rna29276	gene16415	CSTF3	NW_020656153.1
rna29277	gene16416	TCP11L1	NW_020656153.1
rna29280	gene16417	DEPDC7	NW_020656153.1
rna29282	gene16419	QSER1	NW_020656153.1
rna2812	gene1642	ING3	NW_020656122.1
rna29283	gene16420	PRRG4	NW_020656153.1
rna29284	gene16421	CCDC73	NW_020656153.1
rna29285	gene16422	LOC113265069	NW_020656153.1
rna29286	gene16423	EIF3M	NW_020656153.1
rna29289	gene16425	WT1	NW_020656153.1
rna29295	gene16426	LOC113265073	NW_020656153.1
rna29297	gene16427	RCN1	NW_020656153.1
rna29299	gene16428	PAX6	NW_020656153.1
rna29301	gene16429	ELP4	NW_020656153.1
rna2813	gene1643	CPED1	NW_020656122.1
rna29303	gene16430	IMMP1L	NW_020656153.1
rna29312	gene16432	DNAJC24	NW_020656153.1
rna29315	gene16436	LOC113264929	NW_020656153.1
rna29316	gene16437	MPPED2	NW_020656153.1
rna29318	gene16438	ARL14EP	NW_020656153.1
rna2815	gene1644	WNT16	NW_020656122.1
rna29320	gene16440	FSHB	NW_020656153.1
rna29324	gene16444	KCNA4	NW_020656153.1
rna29332	gene16449	METTL15	NW_020656153.1
rna2816	gene1645	FAM3C	NW_020656122.1
rna29335	gene16450	KIF18A	NW_020656153.1
rna29336	gene16452	BDNF	NW_020656153.1
rna29337	gene16453	LIN7C	NW_020656153.1
rna29338	gene16454	LGR4	NW_020656153.1
rna29340	gene16455	CCDC34	NW_020656153.1
rna29343	gene16457	BBOX1	NW_020656153.1
rna29345	gene16459	FIBIN	NW_020656153.1
rna29346	gene16460	SLC5A12	NW_020656153.1
rna29347	gene16461	ANO3	NW_020656153.1
rna29348	gene16462	MUC15	NW_020656153.1
rna29352	gene16469	LUZP2	NW_020656153.1
rna29356	gene16478	SVIP	NW_020656153.1
rna29357	gene16479	GAS2	NW_020656153.1
rna2819	gene1648	PTPRZ1	NW_020656122.1
rna29358	gene16480	FANCF	NW_020656153.1
rna29359	gene16482	SLC17A6	NW_020656153.1
rna29360	gene16483	ANO5	NW_020656153.1
rna29362	gene16485	NELL1	NW_020656153.1
rna29363	gene16486	LOC113264916	NW_020656153.1
rna29364	gene16487	SLC6A5	NW_020656153.1
rna29366	gene16489	PRMT3	NW_020656153.1
rna2820	gene1649	AASS	NW_020656122.1
rna29368	gene16490	HTATIP2	NW_020656153.1
rna29371	gene16492	DBX1	NW_020656153.1
rna29372	gene16494	NAV2	NW_020656153.1
rna29378	gene16499	E2F8	NW_020656153.1
rna340	gene165	ATP5PO	NW_020656121.1
rna29379	gene16500	CSRP3	NW_020656153.1
rna29382	gene16501	ZDHHC13	NW_020656153.1
rna29384	gene16503	MRGPRX2	NW_020656153.1
rna29385	gene16504	PTPN5	NW_020656153.1
rna29386	gene16505	IGSF22	NW_020656153.1
rna29388	gene16506	TMEM86A	NW_020656153.1
rna29390	gene16507	SPTY2D1	NW_020656153.1
rna29391	gene16508	SPTY2D1OS	NW_020656153.1
rna29393	gene16509	UEVLD	NW_020656153.1
rna2823	gene1651	FEZF1	NW_020656122.1
rna29396	gene16510	TSG101	NW_020656153.1
rna29397	gene16511	LOC113265123	NW_020656153.1
rna29398	gene16514	LOC113265126	NW_020656153.1
rna29400	gene16515	GTF2H1	NW_020656153.1
