hgnc_symbol	refseq_mrna	ensembl_gene_id
PPP4C	NM_002720	ENSG00000149923
PPP6C	NM_002721	ENSG00000119414
PREP	NM_002726	ENSG00000085377
PRKACA	NM_002730	ENSG00000288516
PRKACA	NM_002730	ENSG00000072062
PRKAG1	NM_002733	ENSG00000181929
PRKAR1A	NM_002734	ENSG00000108946
MAPK1	NM_002745	ENSG00000100030
MAPK6	NM_002748	ENSG00000069956
MAPK9	NM_002752	ENSG00000050748
MAP2K1	NM_002755	ENSG00000169032
MAP2K5	NM_002757	ENSG00000137764
PRPS1	NM_002764	ENSG00000147224
PRPSAP1	NM_002766	ENSG00000161542
CHMP1A	NM_002768	ENSG00000131165
PSMA1	NM_002786	ENSG00000129084
PSMA2	NM_002787	ENSG00000106588
PSMA3	NM_002788	ENSG00000100567
PSMA4	NM_002789	ENSG00000041357
PSMA5	NM_002790	ENSG00000143106
PSMA6	NM_002791	ENSG00000100902
PSMA7	NM_002792	ENSG00000101182
PSMB1	NM_002793	ENSG00000008018
PSMB2	NM_002794	ENSG00000126067
PSMB3	NM_002795	ENSG00000275903
PSMB3	NM_002795	ENSG00000277791
PSMB4	NM_002796	ENSG00000159377
PSMB5	NM_002797	ENSG00000100804
PSMB6	NM_002798	ENSG00000142507
PSMB7	NM_002799	ENSG00000136930
PSMC2	NM_002803	ENSG00000161057
PSMC3	NM_002804	ENSG00000165916
PSMC5	NM_002805	ENSG00000087191
PSMC6	NM_002806	ENSG00000100519
PSMD1	NM_002807	ENSG00000173692
PSMD2	NM_002808	ENSG00000175166
PSMD3	NM_002809	ENSG00000108344
PSMD4	NM_002810	ENSG00000159352
PSMD7	NM_002811	ENSG00000103035
PSMD8	NM_002812	ENSG00000099341
PSMD9	NM_002813	ENSG00000110801
PSMD10	NM_002814	ENSG00000101843
PSMD11	NM_002815	ENSG00000108671
PSMD12	NM_002816	ENSG00000197170
PSMD13	NM_002817	ENSG00000185627
QSOX1	NM_002826	ENSG00000116260
PTPN1	NM_002827	ENSG00000196396
PTPN11	NM_002834	ENSG00000179295
RAD1	NM_002853	ENSG00000113456
PEX19	NM_002857	ENSG00000162735
ABCD3	NM_002858	ENSG00000117528
RAB2A	NM_002865	ENSG00000104388
RAB5B	NM_002868	ENSG00000111540
RAB6A	NM_002869	ENSG00000175582
RAD17	NM_002873	ENSG00000276618
RAD17	NM_002873	ENSG00000152942
RAD23B	NM_002874	ENSG00000119318
RAD51C	NM_002876	ENSG00000108384
RAF1	NM_002880	ENSG00000132155
RANBP1	NM_002882	ENSG00000099901
RANGAP1	NM_002883	ENSG00000100401
RAP1A	NM_002884	ENSG00000116473
RARS1	NM_002887	ENSG00000113643
RBBP7	NM_002893	ENSG00000102054
RBM4	NM_002896	ENSG00000173933
RCN2	NM_002902	ENSG00000117906
NELFE	NM_002904	ENSG00000206268
NELFE	NM_002904	ENSG00000233801
NELFE	NM_002904	ENSG00000229363
NELFE	NM_002904	ENSG00000206357
NELFE	NM_002904	ENSG00000231044
NELFE	NM_002904	ENSG00000204356
RDX	NM_002906	ENSG00000137710
UPF1	NM_002911	ENSG00000005007
RFC1	NM_002913	ENSG00000035928
RFC2	NM_002914	ENSG00000049541
RFNG	NM_002917	ENSG00000169733
RING1	NM_002931	ENSG00000228520
RING1	NM_002931	ENSG00000235107
RING1	NM_002931	ENSG00000226788
RING1	NM_002931	ENSG00000206287
RING1	NM_002931	ENSG00000231115
RING1	NM_002931	ENSG00000204227
RNASEH1	NM_002936	ENSG00000171865
RNF4	NM_002938	ENSG00000063978
RNH1	NM_002939	ENSG00000276230
RNH1	NM_002939	ENSG00000023191
ABCE1	NM_002940	ENSG00000164163
RPA2	NM_002946	ENSG00000117748
RPA3	NM_002947	ENSG00000106399
MRPL12	NM_002949	ENSG00000262814
RPN1	NM_002950	ENSG00000163902
RPN2	NM_002951	ENSG00000118705
RXRA	NM_002957	ENSG00000186350
ATXN2	NM_002973	ENSG00000204842
SDHB	NM_003000	ENSG00000117118
SDHC	NM_003001	ENSG00000143252
SDHD	NM_003002	ENSG00000204370
SET	NM_003011	ENSG00000119335
SRSF2	NM_003016	ENSG00000161547
SRSF3	NM_003017	ENSG00000112081
SGTA	NM_003021	ENSG00000104969
SIAH1	NM_003031	ENSG00000196470
SMARCA2	NM_003070	ENSG00000080503
SMARCA4	NM_003072	ENSG00000127616
SMARCB1	NM_003073	ENSG00000275837
SMARCB1	NM_003073	ENSG00000099956
SMARCE1	NM_003079	ENSG00000073584
SNRNP70	NM_003089	ENSG00000104852
SNRPB	NM_003091	ENSG00000125835
SNRPB2	NM_003092	ENSG00000125870
SNRPC	NM_003093	ENSG00000124562
SNRPG	NM_003096	ENSG00000143977
SNX2	NM_003100	ENSG00000205302
UAP1	NM_003115	ENSG00000117143
SPG7	NM_003119	ENSG00000197912
SRM	NM_003132	ENSG00000116649
SRP9	NM_003133	ENSG00000143742
SRP14	NM_003134	ENSG00000140319
SRP19	NM_003135	ENSG00000153037
SRP54	NM_003136	ENSG00000100883
SRPRA	NM_003139	ENSG00000182934
SSB	NM_003142	ENSG00000138385
SSBP1	NM_003143	ENSG00000262771
SSBP1	NM_003143	ENSG00000106028
SSR1	NM_003144	ENSG00000124783
SSR2	NM_003145	ENSG00000163479
SSRP1	NM_003146	ENSG00000149136
STAT3	NM_003150	ENSG00000168610
STIM1	NM_003156	ENSG00000167323
NEK4	NM_003157	ENSG00000114904
RPS6KB1	NM_003161	ENSG00000108443
STX5	NM_003164	ENSG00000162236
SUPT4H1	NM_003168	ENSG00000213246
SUPT5H	NM_003169	ENSG00000196235
SUPT6H	NM_003170	ENSG00000109111
SUPV3L1	NM_003171	ENSG00000156502
SURF1	NM_003172	ENSG00000280627
SURF1	NM_003172	ENSG00000148290
TAF4	NM_003185	ENSG00000280529
TAF4	NM_003185	ENSG00000130699
TAF9	NM_003187	ENSG00000276463
TAF9	NM_003187	ENSG00000273841
MAP3K7	NM_003188	ENSG00000135341
TAPBP	NM_003190	ENSG00000206281
TAPBP	NM_003190	ENSG00000236490
TAPBP	NM_003190	ENSG00000112493
TAPBP	NM_003190	ENSG00000206208
TAPBP	NM_003190	ENSG00000231925
TBCC	NM_003192	ENSG00000124659
TBCE	NM_003193	ENSG00000282984
TBCE	NM_003193	ENSG00000284770
ELOA	NM_003198	ENSG00000011007
TFAM	NM_003201	ENSG00000108064
TEF	NM_003216	ENSG00000167074
TMBIM6	NM_003217	ENSG00000139644
ARFRP1	NM_003224	ENSG00000101246
THOP1	NM_003249	ENSG00000172009
TIAL1	NM_003252	ENSG00000151923
SEC62	NM_003262	ENSG00000008952
TRAPPC10	NM_003274	ENSG00000160218
TOP1	NM_003286	ENSG00000198900
TPD52L2	NM_003288	ENSG00000101150
TPP2	NM_003291	ENSG00000134900
NR2C1	NM_003297	ENSG00000120798
TSPYL1	NM_003309	ENSG00000189241
GFUS	NM_003313	ENSG00000278243
GFUS	NM_003313	ENSG00000104522
TTC1	NM_003314	ENSG00000113312
DNAJC7	NM_003315	ENSG00000168259
TUFM	NM_003321	ENSG00000178952
TXNRD1	NM_003330	ENSG00000198431
TYK2	NM_003331	ENSG00000105397
UBA52	NM_003333	ENSG00000221983
UBA1	NM_003334	ENSG00000130985
UBE2A	NM_003336	ENSG00000077721
UBE2B	NM_003337	ENSG00000119048
UBE2D2	NM_003339	ENSG00000131508
UBE2D3	NM_003340	ENSG00000109332
UBE2E1	NM_003341	ENSG00000170142
UBE2G2	NM_003343	ENSG00000184787
UBE2H	NM_003344	ENSG00000186591
UBE2I	NM_003345	ENSG00000103275
UBE2L3	NM_003347	ENSG00000185651
UBE2N	NM_003348	ENSG00000177889
UBE2V2	NM_003350	ENSG00000169139
SUMO1	NM_003352	ENSG00000116030
UNG	NM_003362	ENSG00000076248
USP4	NM_003363	ENSG00000114316
UQCRC1	NM_003365	ENSG00000010256
UQCRC2	NM_003366	ENSG00000140740
USF2	NM_003367	ENSG00000105698
VBP1	NM_003372	ENSG00000155959
XPO1	NM_003400	ENSG00000082898
YY1	NM_003403	ENSG00000100811
YWHAB	NM_003404	ENSG00000166913
ZBTB14	NM_003409	ENSG00000198081
ZNF7	NM_003416	ENSG00000147789
CNBP	NM_003418	ENSG00000169714
ZNF37A	NM_003421	ENSG00000075407
MZF1	NM_003422	ENSG00000099326
ZNF76	NM_003427	ENSG00000065029
ZNF91	NM_003430	ENSG00000167232
ZNF131	NM_003432	ENSG00000172262
ZNF134	NM_003435	ENSG00000213762
ZKSCAN1	NM_003439	ENSG00000106261
ZNF143	NM_003442	ENSG00000166478
ZBTB17	NM_003443	ENSG00000116809
TRIM26	NM_003449	ENSG00000231002
TRIM26	NM_003449	ENSG00000226060
TRIM26	NM_003449	ENSG00000228881
TRIM26	NM_003449	ENSG00000234046
TRIM26	NM_003449	ENSG00000137313
TRIM26	NM_003449	ENSG00000230230
TRIM26	NM_003449	ENSG00000231641
TRIM26	NM_003449	ENSG00000234127
ZNF174	NM_003450	ENSG00000103343
ZMYM2	NM_003453	ENSG00000121741
ZNF207	NM_003457	ENSG00000010244
USP7	NM_003470	ENSG00000187555
DEK	NM_003472	ENSG00000124795
STAM	NM_003473	ENSG00000136738
PDHX	NM_003477	ENSG00000110435
CUL5	NM_003478	ENSG00000166266
USP5	NM_003481	ENSG00000111667
TAF15	NM_003487	ENSG00000276833
TAF15	NM_003487	ENSG00000270647
NRIP1	NM_003489	ENSG00000180530
NAA10	NM_003491	ENSG00000102030
TMEM187	NM_003492	ENSG00000177854
ACOX3	NM_003501	ENSG00000087008
AXIN1	NM_003502	ENSG00000103126
H2BC4	NM_003526	ENSG00000180596
PIP5K1A	NM_003557	ENSG00000143398
SLC25A11	NM_003562	ENSG00000108528
SPOP	NM_003563	ENSG00000121067
ULK1	NM_003565	ENSG00000177169
VAPA	NM_003574	ENSG00000101558
DUSP11	NM_003584	ENSG00000144048
DHX16	NM_003587	ENSG00000227222
DHX16	NM_003587	ENSG00000226171
DHX16	NM_003587	ENSG00000233049
DHX16	NM_003587	ENSG00000233418
DHX16	NM_003587	ENSG00000233561
DHX16	NM_003587	ENSG00000206486
DHX16	NM_003587	ENSG00000231377
DHX16	NM_003587	ENSG00000204560
CUL4B	NM_003588	ENSG00000158290
CUL4A	NM_003589	ENSG00000139842
CUL2	NM_003591	ENSG00000108094
CUL1	NM_003592	ENSG00000055130
TPST2	NM_003595	ENSG00000128294
RANBP3	NM_003624	ENSG00000031823
PPFIA1	NM_003626	ENSG00000288198
PPFIA1	NM_003626	ENSG00000131626
HAT1	NM_003642	ENSG00000128708
COPS3	NM_003653	ENSG00000141030
AGPS	NM_003659	ENSG00000018510
CGGBP1	NM_003663	ENSG00000163320
AP3B1	NM_003664	ENSG00000132842
BLZF1	NM_003666	ENSG00000117475
MAPKAPK5	NM_003668	ENSG00000089022
PRPF18	NM_003675	ENSG00000165630
DEGS1	NM_003676	ENSG00000143753
DENR	NM_003677	ENSG00000139726
THOC5	NM_003678	ENSG00000100296
YARS1	NM_003680	ENSG00000134684
RRP1	NM_003683	ENSG00000160214
MKNK1	NM_003684	ENSG00000079277
KHSRP	NM_003685	ENSG00000088247
AKR7A2	NM_003689	ENSG00000053371
NOP14	NM_003703	ENSG00000087269
RUVBL1	NM_003707	ENSG00000175792
CDK13	NM_003718	ENSG00000065883
RFXANK	NM_003721	ENSG00000064490
RTCA	NM_003729	ENSG00000137996
SSNA1	NM_003731	ENSG00000176101
NCOA1	NM_003743	ENSG00000084676
EIF3A	NM_003750	ENSG00000107581
EIF3B	NM_003751	ENSG00000106263
EIF3D	NM_003753	ENSG00000100353
EIF3G	NM_003755	ENSG00000130811
EIF3H	NM_003756	ENSG00000147677
EIF3I	NM_003757	ENSG00000084623
EIF3J	NM_003758	ENSG00000104131
EIF4G3	NM_003760	ENSG00000075151
STX10	NM_003765	ENSG00000104915
BECN1	NM_003766	ENSG00000126581
MRPL40	NM_003776	ENSG00000185608
B4GALT3	NM_003779	ENSG00000158850
MBTPS1	NM_003791	ENSG00000140943
EDF1	NM_003792	ENSG00000107223
SNX4	NM_003794	ENSG00000114520
SNX3	NM_003795	ENSG00000112335
URI1	NM_003796	ENSG00000105176
EED	NM_003797	ENSG00000074266
GPAA1	NM_003801	ENSG00000197858
RIPK1	NM_003804	ENSG00000137275
CRADD	NM_003805	ENSG00000169372
CDS2	NM_003818	ENSG00000101290
FADD	NM_003824	ENSG00000168040
SNAP23	NM_003825	ENSG00000092531
NAPA	NM_003827	ENSG00000105402
MTMR1	NM_003828	ENSG00000063601
RIOK3	NM_003831	ENSG00000101782
FPGT	NM_003838	ENSG00000254685
PEX11B	NM_003846	ENSG00000131779
SUCLG2	NM_003848	ENSG00000172340
SUCLG1	NM_003849	ENSG00000163541
SUCLA2	NM_003850	ENSG00000136143
CREG1	NM_003851	ENSG00000143162
DPM1	NM_003859	ENSG00000000419
BANF1	NM_003860	ENSG00000175334
DCAF5	NM_003861	ENSG00000139990
SAP30	NM_003864	ENSG00000164105
HDAC3	NM_003883	ENSG00000171720
KAT2B	NM_003884	ENSG00000114166
SGPL1	NM_003901	ENSG00000166224
FUBP1	NM_003902	ENSG00000162613
CDC16	NM_003903	ENSG00000130177
ZPR1	NM_003904	ENSG00000109917
NAE1	NM_003905	ENSG00000159593
MCM3AP	NM_003906	ENSG00000160294
EIF2B5	NM_003907	ENSG00000145191
EIF2S2	NM_003908	ENSG00000125977
CPNE3	NM_003909	ENSG00000085719
PRPF4B	NM_003913	ENSG00000112739
CPNE1	NM_003915	ENSG00000214078
MBD4	NM_003925	ENSG00000129071
MBD2	NM_003927	ENSG00000134046
AP3D1	NM_003938	ENSG00000065000
ATP6V0E1	NM_003945	ENSG00000113732
RPS6KB2	NM_003952	ENSG00000175634
UBA3	NM_003968	ENSG00000144744
UBE2M	NM_003969	ENSG00000130725
SPAG9	NM_003971	ENSG00000008294
RPL14	NM_003973	ENSG00000188846
AIP	NM_003977	ENSG00000110711
CLK3	NM_003992	ENSG00000179335
ACOX1	NM_004035	ENSG00000161533
RHOB	NM_004040	ENSG00000143878
ATIC	NM_004044	ENSG00000138363
ATOX1	NM_004045	ENSG00000177556
ATP5F1A	NM_004046	ENSG00000152234
ATP6V0B	NM_004047	ENSG00000117410
CCNG1	NM_004060	ENSG00000113328
AP2M1	NM_004068	ENSG00000161203
AP2S1	NM_004069	ENSG00000042753
COX8A	NM_004074	ENSG00000176340
DLG1	NM_004087	ENSG00000075711
ECHS1	NM_004092	ENSG00000127884
EIF2S1	NM_004094	ENSG00000134001
STOM	NM_004099	ENSG00000148175
FDX1	NM_004109	ENSG00000137714
FEN1	NM_004111	ENSG00000168496
GPS1	NM_004127	ENSG00000169727
GTF2F2	NM_004128	ENSG00000188342
HSPA9	NM_004134	ENSG00000113013
IDH3G	NM_004135	ENSG00000067829
IREB2	NM_004136	ENSG00000136381
NDUFB7	NM_004146	ENSG00000099795
NINJ1	NM_004148	ENSG00000131669
OAZ1	NM_004152	ENSG00000104904
RAB1A	NM_004161	ENSG00000138069
RAB5A	NM_004162	ENSG00000144566
SDHA	NM_004168	ENSG00000073578
SNRPD3	NM_004175	ENSG00000100028
TANK	NM_004180	ENSG00000136560
UXT	NM_004182	ENSG00000126756
KDM5C	NM_004187	ENSG00000126012
GBF1	NM_004193	ENSG00000107862
SEC22C	NM_004206	ENSG00000093183
FIBP	NM_004214	ENSG00000172500
EBAG9	NM_004215	ENSG00000147654
RAB11B	NM_004218	ENSG00000185236
MED14	NM_004229	ENSG00000180182
ATP6V1F	NM_004231	ENSG00000128524
SOCS6	NM_004232	ENSG00000170677
COPS2	NM_004236	ENSG00000166200
TRIP12	NM_004238	ENSG00000153827
HMGN3	NM_004242	ENSG00000118418
EFTUD2	NM_004247	ENSG00000108883
RAB9A	NM_004251	ENSG00000123595
MED21	NM_004264	ENSG00000152944
MED7	NM_004270	ENSG00000155868
MED20	NM_004275	ENSG00000124641
PMPCB	NM_004279	ENSG00000105819
EEF1E1	NM_004280	ENSG00000124802
CHD1L	NM_004284	ENSG00000131778
GOSR2	NM_004287	ENSG00000108433
RNF14	NM_004290	ENSG00000013561
ABCB7	NM_004299	ENSG00000131269
ACP1	NM_004300	ENSG00000143727
ACVR1B	NM_004302	ENSG00000135503
ARHGDIA	NM_004309	ENSG00000141522
GET3	NM_004317	ENSG00000198356
BAD	NM_004322	ENSG00000002330
BAG1	NM_004323	ENSG00000107262
BCS1L	NM_004328	ENSG00000074582
BNIP2	NM_004330	ENSG00000140299
OSGIN2	NM_004337	ENSG00000164823
CALR	NM_004343	ENSG00000179218
CASP3	NM_004346	ENSG00000164305
CD81	NM_004356	ENSG00000110651
COPA	NM_004371	ENSG00000122218
COX6C	NM_004374	ENSG00000164919
COX11	NM_004375	ENSG00000166260
COX15	NM_004376	ENSG00000014919
CSNK1G3	NM_004384	ENSG00000151292
DAG1	NM_004393	ENSG00000173402
DDX10	NM_004398	ENSG00000178105
DFFA	NM_004401	ENSG00000160049
RCAN1	NM_004414	ENSG00000159200
DVL3	NM_004423	ENSG00000161202
E4F1	NM_004424	ENSG00000167967
PHC2	NM_004427	ENSG00000134686
ENDOG	NM_004435	ENSG00000167136
ENSA	NM_004436	ENSG00000143420
EPRS1	NM_004446	ENSG00000136628
ERH	NM_004450	ENSG00000100632
ACSL3	NM_004457	ENSG00000123983
BPTF	NM_004459	ENSG00000171634
FARSA	NM_004461	ENSG00000179115
	NM_004462	ENSG00000284967
FDFT1	NM_004462	ENSG00000079459
FLOT2	NM_004475	ENSG00000132589
GALNT2	NM_004481	ENSG00000143641
GOLGA2	NM_004486	ENSG00000167110
GOLGB1	NM_004487	ENSG00000173230
GPS2	NM_004489	ENSG00000288325
GPS2	NM_004489	ENSG00000132522
ARHGAP35	NM_004491	ENSG00000160007
HSD17B10	NM_004493	ENSG00000072506
HDGF	NM_004494	ENSG00000143321
HNRNPAB	NM_004499	ENSG00000197451
HNRNPC	NM_004500	ENSG00000092199
HNRNPU	NM_004501	ENSG00000153187
AGFG1	NM_004504	ENSG00000173744
HUS1	NM_004507	ENSG00000136273
IDI1	NM_004508	ENSG00000067064
FOXK2	NM_004514	ENSG00000141568
ILF2	NM_004515	ENSG00000143621
MGST3	NM_004528	ENSG00000143198
NARS1	NM_004539	ENSG00000134440
NDUFA3	NM_004542	ENSG00000273642
NDUFA3	NM_004542	ENSG00000275724
NDUFA3	NM_004542	ENSG00000276061
NDUFA3	NM_004542	ENSG00000278365
NDUFA3	NM_004542	ENSG00000276766
NDUFA3	NM_004542	ENSG00000276220
NDUFA3	NM_004542	ENSG00000277722
NDUFA3	NM_004542	ENSG00000274359
NDUFA3	NM_004542	ENSG00000275605
NDUFA3	NM_004542	ENSG00000170906
NDUFA10	NM_004544	ENSG00000130414
NDUFB2	NM_004546	ENSG00000090266
NDUFB4	NM_004547	ENSG00000065518
NDUFB10	NM_004548	ENSG00000140990
NDUFC2	NM_004549	ENSG00000151366
NDUFS2	NM_004550	ENSG00000158864
NDUFS3	NM_004551	ENSG00000285387
NDUFS3	NM_004551	ENSG00000213619
NDUFS5	NM_004552	ENSG00000168653
NDUFS6	NM_004553	ENSG00000145494
PEX14	NM_004565	ENSG00000142655
SERPINB6	NM_004568	ENSG00000124570
PIGH	NM_004569	ENSG00000100564
RAB4A	NM_004578	ENSG00000168118
RABGGTA	NM_004581	ENSG00000285193
RABGGTA	NM_004581	ENSG00000100949
RABGGTB	NM_004582	ENSG00000137955
RAB5C	NM_004583	ENSG00000108774
RPS6KA3	NM_004586	ENSG00000177189
SCO1	NM_004589	ENSG00000133028
SFSWAP	NM_004592	ENSG00000061936
TRA2B	NM_004593	ENSG00000136527
SNRPA	NM_004596	ENSG00000077312
SNRPD2	NM_004597	ENSG00000125743
SREBF2	NM_004599	ENSG00000198911
STAU1	NM_004602	ENSG00000124214
STX4	NM_004604	ENSG00000103496
TBCA	NM_004607	ENSG00000171530
TRAF6	NM_004620	ENSG00000175104
TSN	NM_004622	ENSG00000211460
TTC4	NM_004623	ENSG00000243725
GET1	NM_004627	ENSG00000182093
SF1	NM_004630	ENSG00000168066
DAP3	NM_004632	ENSG00000132676
BRPF1	NM_004634	ENSG00000156983
RAB7A	NM_004637	ENSG00000075785
PRRC2A	NM_004638	ENSG00000231370
PRRC2A	NM_004638	ENSG00000226618
PRRC2A	NM_004638	ENSG00000206427
PRRC2A	NM_004638	ENSG00000231825
PRRC2A	NM_004638	ENSG00000225748
PRRC2A	NM_004638	ENSG00000225164
PRRC2A	NM_004638	ENSG00000204469
DDX39B	NM_004640	ENSG00000237889
DDX39B	NM_004640	ENSG00000235439
DDX39B	NM_004640	ENSG00000225859
DDX39B	NM_004640	ENSG00000225073
DDX39B	NM_004640	ENSG00000230624
DDX39B	NM_004640	ENSG00000215425
DDX39B	NM_004640	ENSG00000229496
DDX39B	NM_004640	ENSG00000198563
CDK2AP1	NM_004642	ENSG00000111328
PABPN1	NM_004643	ENSG00000100836
GATD3A	NM_004649	ENSG00000160221
BAP1	NM_004656	ENSG00000163930
CDC23	NM_004661	ENSG00000094880
RAB11A	NM_004663	ENSG00000103769
ASH2L	NM_004674	ENSG00000129691
MTMR6	NM_004685	ENSG00000139505
ATP6V0D1	NM_004691	ENSG00000159720
PRPF4	NM_004697	ENSG00000136875
PRPF3	NM_004698	ENSG00000117360
FAM50A	NM_004699	ENSG00000071859
RABEP1	NM_004703	ENSG00000029725
ATG12	NM_004707	ENSG00000145782
PDCD5	NM_004708	ENSG00000105185
HGS	NM_004712	ENSG00000185359
PCSK7	NM_004716	ENSG00000160613
COX7A2L	NM_004718	ENSG00000115944
SCAF11	NM_004719	ENSG00000139218
ZW10	NM_004724	ENSG00000086827
BUB3	NM_004725	ENSG00000154473
DDX21	NM_004728	ENSG00000165732
ETF1	NM_004730	ENSG00000120705
VAPB	NM_004738	ENSG00000124164
MTA2	NM_004739	ENSG00000149480
NOLC1	NM_004741	ENSG00000166197
CCPG1	NM_004748	ENSG00000260916
TBRG4	NM_004749	ENSG00000136270
AIMP1	NM_004757	ENSG00000164022
MAPKAPK2	NM_004759	ENSG00000162889
COPB2	NM_004766	ENSG00000184432
SRSF11	NM_004768	ENSG00000116754
ZNHIT3	NM_004773	ENSG00000278574
ZNHIT3	NM_004773	ENSG00000273611
B4GALT5	NM_004776	ENSG00000158470
VAMP3	NM_004781	ENSG00000049245
SNAP29	NM_004782	ENSG00000099940
TAOK2	NM_004783	ENSG00000149930
TXNL1	NM_004786	ENSG00000091164
UBE4A	NM_004788	ENSG00000110344
PPIG	NM_004792	ENSG00000138398
LONP1	NM_004793	ENSG00000196365
TM9SF2	NM_004800	ENSG00000125304
CIAO1	NM_004804	ENSG00000144021
POLR2D	NM_004805	ENSG00000144231
HS6ST1	NM_004807	ENSG00000136720
STOML1	NM_004809	ENSG00000067221
PEX16	NM_004813	ENSG00000121680
SNRNP40	NM_004814	ENSG00000060688
DDX23	NM_004818	ENSG00000174243
SYMPK	NM_004819	ENSG00000125755
CDYL	NM_004824	ENSG00000153046
GSTO1	NM_004832	ENSG00000148834
MAP4K4	NM_004834	ENSG00000071054
EIF2AK3	NM_004836	ENSG00000172071
EIF4E2	NM_004846	ENSG00000135930
ATG5	NM_004849	ENSG00000057663
STX8	NM_004853	ENSG00000170310
CLTC	NM_004859	ENSG00000141367
MPDU1	NM_004870	ENSG00000129255
GOSR1	NM_004871	ENSG00000108587
TMEM59	NM_004872	ENSG00000116209
BAG4	NM_004874	ENSG00000156735
EI24	NM_004879	ENSG00000149547
CIR1	NM_004882	ENSG00000138433
ATP6V1G1	NM_004888	ENSG00000136888
ATP5MF	NM_004889	ENSG00000241468
SPAG7	NM_004890	ENSG00000091640
MRPL33	NM_004891	ENSG00000243147
SEC22B	NM_004892	ENSG00000265808
MACROH2A1	NM_004893	ENSG00000113648
ATP5MJ	NM_004894	ENSG00000156411
VPS26A	NM_004896	ENSG00000122958
CLOCK	NM_004898	ENSG00000134852
BABAM2	NM_004899	ENSG00000158019
ENTPD4	NM_004901	ENSG00000197217
RBM39	NM_004902	ENSG00000131051
PRDX6	NM_004905	ENSG00000117592
WTAP	NM_004906	ENSG00000146457
SEC24C	NM_004922	ENSG00000176986
MRPL49	NM_004927	ENSG00000149792
CFAP410	NM_004928	ENSG00000160226
CAPZB	NM_004930	ENSG00000077549
DDX1	NM_004939	ENSG00000079785
DHX8	NM_004941	ENSG00000067596
DNM2	NM_004945	ENSG00000079805
EIF4G1	NM_004953	ENSG00000114867
FPGS	NM_004957	ENSG00000136877
HNRNPF	NM_004966	ENSG00000169813
KTN1	NM_004986	ENSG00000126777
MARS1	NM_004990	ENSG00000166986
MECP2	NM_004992	ENSG00000169057
MYO1E	NM_004998	ENSG00000157483
NDUFA5	NM_005000	ENSG00000128609
NDUFA7	NM_005001	ENSG00000267855
NDUFA9	NM_005002	ENSG00000139180
NDUFB8	NM_005004	ENSG00000166136
NDUFB9	NM_005005	ENSG00000147684
NFKBIL1	NM_005007	ENSG00000236346
NFKBIL1	NM_005007	ENSG00000206440
NFKBIL1	NM_005007	ENSG00000236196
NFKBIL1	NM_005007	ENSG00000235125
NFKBIL1	NM_005007	ENSG00000227565
NFKBIL1	NM_005007	ENSG00000234530
NFKBIL1	NM_005007	ENSG00000204498
SNU13	NM_005008	ENSG00000100138
OXA1L	NM_005015	ENSG00000155463
PCBP2	NM_005016	ENSG00000197111
PCYT1A	NM_005017	ENSG00000161217
PFN1	NM_005022	ENSG00000108518
POLR2K	NM_005034	ENSG00000147669
PPARA	NM_005036	ENSG00000186951
PPID	NM_005038	ENSG00000171497
PSMD5	NM_005047	ENSG00000095261
PWP2	NM_005049	ENSG00000241945
QARS1	NM_005051	ENSG00000172053
SEL1L	NM_005065	ENSG00000071537
SIAH2	NM_005067	ENSG00000181788
TLE1	NM_005077	ENSG00000196781
SLC27A4	NM_005094	ENSG00000167114
FEZ2	NM_005102	ENSG00000171055
BRD2	NM_005104	ENSG00000235307
BRD2	NM_005104	ENSG00000234704
BRD2	NM_005104	ENSG00000230678
BRD2	NM_005104	ENSG00000236227
BRD2	NM_005104	ENSG00000234507
BRD2	NM_005104	ENSG00000215077
BRD2	NM_005104	ENSG00000204256
RBM8A	NM_005105	ENSG00000265241
WDR1	NM_005112	ENSG00000071127
GOLGA5	NM_005113	ENSG00000066455
THRAP3	NM_005119	ENSG00000054118
MED13	NM_005121	ENSG00000108510
NUP153	NM_005124	ENSG00000124789
PPP4R1	NM_005134	ENSG00000154845
SCO2	NM_005138	ENSG00000284194
SART1	NM_005146	ENSG00000175467
DNAJA3	NM_005147	ENSG00000276726
DNAJA3	NM_005147	ENSG00000103423
USP14	NM_005151	ENSG00000101557
USP10	NM_005153	ENSG00000103194
USP8	NM_005154	ENSG00000138592
AKT1	NM_005163	ENSG00000142208
ATF1	NM_005171	ENSG00000123268
ATP5F1C	NM_005174	ENSG00000165629
ATP5MC2	NM_005176	ENSG00000135390
BMI1	NM_005180	ENSG00000168283
CAPN1	NM_005186	ENSG00000014216
CHKB	NM_005198	ENSG00000100288
CRK	NM_005206	ENSG00000167193
CRKL	NM_005207	ENSG00000099942
DDOST	NM_005216	ENSG00000244038
ELK1	NM_005229	ENSG00000126767
CTTN	NM_005231	ENSG00000288401
CTTN	NM_005231	ENSG00000085733
EWSR1	NM_005243	ENSG00000182944
GFER	NM_005262	ENSG00000127554
GNB2	NM_005273	ENSG00000172354
RAPGEF1	NM_005312	ENSG00000107263
GTF2H1	NM_005316	ENSG00000288114
GTF2H1	NM_005316	ENSG00000110768
HAGH	NM_005326	ENSG00000063854
HADH	NM_005327	ENSG00000138796
HCCS	NM_005333	ENSG00000004961
HCFC1	NM_005334	ENSG00000172534
HDLBP	NM_005336	ENSG00000115677
