Orthogroup	ursArc.longCDS.prots	ailMel.longCDS.prots
OG0000968	rna43254	rna-XM_034657645.1
OG0000969	rna43457	rna-XM_019801916.2
OG0000969	rna15727	rna-XM_002912706.3
OG0000970	rna52939	rna-XM_034657928.1
OG0000970	rna22841	rna-XM_034657011.1
OG0000971	rna31536	rna-XM_034664609.1
OG0000971	rna15796	rna-XM_034658029.1
OG0000972	rna15800	rna-XM_034658037.1
OG0000972	rna25641	rna-XM_034666808.1
OG0000973	rna15998	rna-XM_011222807.3
OG0000973	rna15999	rna-XM_011222796.3
OG0000974	rna15627	rna-XM_019796131.2
OG0000974	rna16054	rna-XM_034657207.1
OG0000975	rna16174	rna-XM_034658309.1
OG0000975	rna15455	rna-XM_011225439.3
OG0000976	rna16284	rna-XM_034658384.1
OG0000976	rna2728	rna-XM_034670743.1
OG0000977	rna16299	rna-XM_034658391.1
OG0000977	rna2056	rna-XM_034667203.1
OG0000978	rna16323	rna-XM_034658404.1
OG0000978	rna15184	rna-XM_002928477.4
OG0000979	rna16347	rna-XM_034657214.1
OG0000979	rna14971	rna-XM_002915473.4
OG0000980	rna16395	rna-XM_034658470.1
OG0000980	rna40425	rna-XM_034644268.1
OG0000981	rna18328	rna-XM_002914122.4
OG0000981	rna16416	rna-XM_034658484.1
OG0000982	rna16418	rna-XM_034658485.1
OG0000982	rna18322	rna-XM_034645035.1
OG0000983	rna16454	rna-XM_011231373.3
OG0000983	rna2870	rna-XM_002913417.3
OG0000984	rna16456	rna-XM_034658504.1
OG0000984	rna41163	rna-XM_034643649.1
OG0000985	rna2824	rna-XM_034671268.1
OG0000985	rna16549	rna-XM_034658585.1
OG0000986	rna17563	rna-XM_034645962.1
OG0000986	rna16577	rna-XM_034658598.1
OG0000987	rna16593	rna-XM_034658606.1
OG0000987	rna2024	rna-XM_034641709.1
OG0000988	rna16858	rna-XM_034658803.1
OG0000988	rna15401	rna-XM_002918324.4
OG0000989	rna16900	rna-XM_034658822.1
OG0000989	rna15403	rna-XM_034643413.1
OG0000990	rna16912	rna-XM_002920689.4
OG0000990	rna41267	rna-XM_034644204.1
OG0000991	rna4790	rna-XM_034659074.1
OG0000991	rna42409	rna-XM_034643201.1
OG0000992	rna42428	rna-XM_019800114.2
OG0000992	rna4782	rna-XM_002912411.4
OG0000993	rna4777	rna-XM_019793495.2
OG0000993	rna49205, rna49128	rna-XM_002914165.4
OG0000994	rna4734	rna-XM_011217440.3, rna-XM_034659100.1
OG0000995	rna4544	rna-XM_002926269.4
OG0000995	rna42291	rna-XM_034648627.1
OG0000996	rna45228	rna-XM_002916617.4
OG0000996	rna4520	rna-XM_002927662.4
OG0000997	rna4491	rna-XM_034659235.1
OG0000997	rna21989	rna-XM_002926466.4
OG0000998	rna26577	rna-XM_011225362.3
OG0000998	rna4289	rna-XM_002921484.4
OG0000999	rna15074	rna-XM_002919236.4
OG0000999	rna4199	rna-XM_011233704.3
OG0001000	rna23988	rna-XM_034655869.1
OG0001000	rna4127	rna-XM_002922338.4
OG0001001	rna32016	rna-XM_034672026.1
OG0001001	rna3980	rna-XM_034659581.1
OG0001002	rna3912	rna-XM_034659618.1
OG0001002	rna31095	rna-XM_034648593.1
OG0001003	rna3904	rna-XM_002924049.4
OG0001003	rna31077	rna-XM_034648584.1
OG0001004	rna3838	rna-XM_002914827.4
OG0001004	rna30887	rna-XM_034648514.1
OG0001005	rna10545	rna-XM_034642744.1
OG0001005	rna3437	rna-XM_002922741.4
OG0001006	rna10542	rna-XM_011229154.3
OG0001006	rna3427	rna-XM_019802053.2
OG0001007	rna3281	rna-XM_034659977.1
OG0001007	rna34377	rna-XM_034650166.1
OG0001008	rna3274	rna-XM_034659983.1
OG0001008	rna34370	rna-XM_019800056.2
OG0001009	rna31395	rna-XM_034652325.1, rna-XM_011221121.3, rna-XM_034650228.1, rna-XM_034651623.1, rna-XM_034651770.1, rna-XM_034651231.1
OG0001010	rna36132	rna-XM_034650330.1
OG0001010	rna36133	rna-XM_034650068.1, rna-XM_034650090.1
OG0001011	rna53419	rna-XM_034650323.1, rna-XM_019793784.2
OG0001011	rna53633	rna-XM_034651543.1, rna-XM_034653294.1
OG0001012	rna6795	rna-XM_019793188.2
OG0001012	rna37440	rna-XM_034647308.1
OG0001013	rna35416	rna-XM_011232602.3
OG0001013	rna37774	rna-XM_034643254.1
OG0001014	rna18475	rna-XM_034641610.1
OG0001014	rna37733	rna-XM_002926349.3
OG0001015	rna45443	rna-XM_011221663.3
OG0001015	rna33209	rna-XM_034642630.1
OG0001016	rna33026	rna-XM_034643072.1
OG0001016	rna35334	rna-XM_002914189.4
OG0001017	rna25995	rna-XM_011228915.3
OG0001017	rna33018	rna-XM_002917464.4
OG0001018	rna32729	rna-XM_034643092.1
OG0001018	rna18482	rna-XM_011224340.3
OG0001019	rna45237	rna-XM_011221547.3
OG0001019	rna32724	rna-XM_034643323.1
OG0001020	rna50304	rna-XM_034642181.1
OG0001020	rna35921	rna-XM_034640590.1
OG0001021	id553430	id-LOC117796044, id-LOC105235281, id-LOC105235181, id-LOC117797934
OG0001022	rna48517	rna-XM_034642839.1
OG0001022	rna35545	rna-XM_011229995.3
OG0001023	rna33516	rna-XM_034670158.1
OG0001023	rna50236	rna-XM_034642779.1
OG0001024	rna48615	rna-XM_034641941.1
OG0001024	rna19473	rna-XM_002915515.4
OG0001025	rna10447	rna-XM_034642580.1
OG0001025	rna20525	rna-XM_034669119.1
OG0001026	rna19496	rna-XM_034641572.1
OG0001026	rna10628	rna-XM_002912678.4
OG0001027	rna19491	rna-XM_034641573.1
OG0001027	rna10639	rna-XM_034642678.1
OG0001028	rna53771, rna53939, rna53545, rna54380, rna54109, rna53317	rna-XM_019792711.2
OG0001029	rna11156	rna-XM_034642301.1
OG0001029	rna19383	rna-XM_034640143.1
OG0001030	rna7307	rna-XM_034665208.1
OG0001030	rna11959	rna-XM_034651497.1, rna-XM_002923455.4
OG0001031	rna23698	rna-XM_034647021.1
OG0001031	rna23695, rna23696	rna-XM_034650583.1
OG0001032	rna33530	rna-XM_034670148.1
OG0001032	rna35953	rna-XM_011223427.3
OG0001033	rna1763	rna-XM_034665073.1
OG0001033	rna35724	rna-XM_034640509.1
OG0001034	rna30433	rna-XM_011233310.3
OG0001034	rna47623	rna-XM_034670635.1
OG0001035	rna38637	rna-XM_019807751.2
OG0001035	rna30417	rna-XM_034639977.1
OG0001036	rna30309	rna-XM_002916823.4
OG0001036	rna2555	rna-XM_034669582.1
OG0001037	rna30232	rna-XM_034640027.1
OG0001037	rna40734	rna-XM_002913152.4
OG0001038	rna3085	rna-XM_034672885.1
OG0001038	rna29977	rna-XM_034641728.1
OG0001039	rna29957	rna-XM_034640776.1
OG0001039	rna29959	rna-XM_002922142.4
OG0001040	rna40915	rna-XM_011230506.3
OG0001040	rna29943	rna-XM_034639818.1
OG0001041	rna29785	rna-XM_002919751.4
OG0001041	rna40848	rna-XM_034643853.1
OG0001042	rna50978	rna-XM_002929333.2
OG0001042	rna29733	rna-XM_002928777.4
OG0001043	rna29700	rna-XM_034639740.1
OG0001043	rna16018	rna-XM_034652005.1
OG0001044	rna29599	rna-XM_019805169.2
OG0001044	rna34106	rna-XM_019804821.2
OG0001045	rna46321	rna-XM_011225802.3
OG0001045	rna39685	rna-XM_011237660.3
OG0001046	rna39655	rna-XM_002923131.4
OG0001046	rna46286	rna-XM_034640335.1
OG0001047	rna39637	rna-XM_034646930.1
OG0001047	rna46224	rna-XM_034640253.1
OG0001048	rna46184	rna-XM_034641653.1
OG0001048	rna38797	rna-XM_034670410.1
OG0001049	rna34189	rna-XM_034669767.1
OG0001049	rna46026	rna-XM_019793862.2
OG0001050	rna45977	rna-XM_011224635.2
OG0001050	rna51443	rna-XM_034669713.1
OG0001051	rna45952	rna-XM_034641045.1
OG0001051	rna41549	rna-XM_034644059.1
OG0001052	rna19436	rna-XM_002915524.4
OG0001052	rna48762	rna-XM_034648370.1
OG0001053	rna19110	rna-XM_034641589.1
OG0001053	rna20614	rna-XM_002922291.4
OG0001054	rna18653	rna-XM_034641601.1
OG0001054	rna37702	rna-XM_034647338.1
OG0001055	rna24415	rna-XM_019795843.2
OG0001055	rna18545	rna-XM_034641727.1
OG0001056	rna26356	rna-XM_011232510.3
OG0001056	rna18539	rna-XM_034640389.1
OG0001057	rna42346	rna-XM_034648393.1
OG0001057	rna18510	rna-XM_034641057.1
OG0001058	rna18503	rna-XM_034640285.1
OG0001058	rna45458	rna-XM_019796927.2
OG0001059	rna18407	rna-XM_034641670.1
OG0001059	rna30990	rna-XM_002916452.4
OG0001060	rna39172	rna-XM_034646679.1
OG0001060	rna50258	rna-XM_034650381.1
OG0001061	rna39242	rna-XM_034646867.1
OG0001061	rna39239	rna-XM_002924474.4
OG0001062	rna1447	rna-XM_019795793.2
OG0001062	rna39268	rna-XM_034647180.1
OG0001063	rna39366	rna-XM_034647239.1
OG0001064	rna36945	rna-XM_002920318.4
OG0001064	rna36944	rna-XM_002920319.4
OG0001065	rna54271, rna54270	rna-XM_034650356.1, rna-XM_011229261.1, rna-XM_034651939.1
OG0001066	rna23840, rna21045	rna-XM_002931248.4
OG0001066	rna23839	rna-XM_002931252.1
OG0001067	rna18368	rna-XM_034646041.1
OG0001067	rna49068	rna-XM_034645367.1
OG0001068	rna1522	rna-XM_002912458.4
OG0001068	rna18134	rna-XM_002922229.4
OG0001069	rna49590	rna-XM_034646107.1
OG0001069	rna17791	rna-XM_019795326.2
OG0001070	rna17659	rna-XM_034646078.1
OG0001070	rna48433	rna-XM_011220930.3
OG0001071	rna17436	rna-XM_019807931.2
OG0001071	rna1053	rna-XM_034670712.1
OG0001072	rna17370	rna-XM_034650658.1, rna-XM_034652989.1, rna-XM_034651138.1, rna-XM_034650940.1, rna-XM_034650978.1, rna-XM_019802930.2
OG0001073	rna17258	rna-XM_011227859.3
OG0001073	rna22034	rna-XM_034665564.1
OG0001074	rna29384	rna-XM_034645911.1
OG0001075	rna29316	rna-XM_019804759.2
OG0001075	rna41318	rna-XM_034643958.1
OG0001076	rna14898	rna-XM_002927658.4
OG0001076	rna29151	rna-XM_019802824.2
OG0001077	rna29140	rna-XM_034644686.1
OG0001077	rna14877	rna-XM_034643724.1
OG0001078	rna3073	rna-XM_034647002.1
OG0001078	rna29128	rna-XM_034646294.1
OG0001079	rna29025	rna-XM_034645689.1
OG0001079	rna40466	rna-XM_034643778.1
OG0001080	rna54311	rna-XM_034644897.1
OG0001080	rna54316	rna-XM_002926867.4, rna-XM_002926850.4
OG0001081	rna49460	rna-XM_034645878.1
OG0001081	rna49467	rna-XM_034646293.1, rna-XM_034650838.1
OG0001082	rna45103	rna-XM_034644887.1
OG0001082	rna45107	rna-XM_034645864.1
OG0001083	rna41135	rna-XM_034643911.1
OG0001083	rna45067	rna-XM_019809980.2
OG0001084	rna31051	rna-XM_002922000.4, rna-XM_034651521.1, rna-XM_034651166.1
OG0001085	rna31821	rna-XM_002924639.3
OG0001085	rna54378, rna54376	rna-XM_034650727.1
OG0001086	rna48354, rna48355	rna-XM_002931010.4, rna-XM_002931008.4, rna-XM_034667724.1
OG0001087	rna34169	rna-XM_034669774.1
OG0001087	rna34174	rna-XM_034669769.1
OG0001088	rna34069	rna-XM_034669860.1
OG0001088	rna31944	rna-XM_019796432.2
OG0001089	rna1530	rna-XM_002912449.4
OG0001089	rna33962	rna-XM_002927301.4
OG0001090	rna33829	rna-XM_034669991.1
OG0001090	rna33660	rna-XM_034670092.1
OG0001091	rna40891	rna-XM_011232821.3
OG0001091	rna33597	rna-XM_011231773.3
OG0001092	rna38772	rna-XM_002919693.4
OG0001092	rna41405	rna-XM_034643899.1
OG0001093	rna41431	rna-XM_002927026.4
OG0001093	rna38876	rna-XM_034670471.1
OG0001094	rna41593	rna-XM_034643615.1
OG0001094	rna47579	rna-XM_002920174.4
OG0001095	rna28697	rna-XM_002927551.4
OG0001095	rna6914	rna-XM_002924212.4
OG0001096	rna20782	rna-XM_002927613.4
OG0001096	rna996	rna-XM_034659194.1
OG0001097	rna20976	rna-XM_002925335.4
OG0001097	rna20975	rna-XM_002925336.4
OG0001098	rna27797	rna-XM_002922882.4
OG0001099	rna21842	rna-XM_034665641.1
OG0001099	rna21841	rna-XM_034665640.1
OG0001100	rna21829	rna-XM_034665647.1
OG0001100	rna21831	rna-XM_034652919.1, rna-XM_002922024.4
OG0001101	rna174	rna-XM_034655179.1
OG0001101	rna21300	rna-XM_034666038.1
OG0001102	rna21210	rna-XM_011221669.3
OG0001102	rna237	rna-XM_011236787.3
OG0001103	rna36247	rna-XM_034666394.1
OG0001103	rna14146	rna-XM_034656175.1
OG0001104	rna36105	rna-XM_002930703.4
OG0001104	rna54331, rna54332	rna-XM_002930697.4, rna-XM_002930698.2
OG0001105	rna25151	rna-XM_034671897.1
OG0001105	rna48329	rna-XM_019805672.2
OG0001106	rna48395, rna54377	rna-XM_002916175.4
OG0001107	rna48457	rna-XM_034666548.1
OG0001107	rna41151	rna-XM_034643637.1
OG0001108	rna25737	rna-XM_034666760.1
OG0001108	rna31236	rna-XM_034664390.1
OG0001109	rna25736	rna-XM_011220937.3
OG0001109	rna35424	rna-XM_034667184.1
OG0001110	rna25723	rna-XM_034666777.1
OG0001110	rna31424	rna-XM_034664532.1
OG0001111	rna25686	rna-XM_002924844.4
OG0001111	rna31311	rna-XM_002915947.4
OG0001112	rna25570	rna-XM_002920796.4
OG0001112	rna31837	rna-XM_034663755.1
OG0001113	rna31368	rna-XM_002919998.4
OG0001113	rna42742	rna-XM_034666982.1
OG0001114	rna31371	rna-XM_034664491.1
OG0001114	rna42741	rna-XM_034666986.1
OG0001115	rna15272	rna-XM_002920644.4
OG0001115	rna42677	rna-XM_034667019.1
OG0001116	rna35353	rna-XM_034667208.1
OG0001116	rna35355	rna-XM_034667670.1
OG0001117	rna49748	rna-XM_034667678.1
OG0001117	rna31549	rna-XM_034664622.1
OG0001118	rna47399	rna-XM_034667578.1
OG0001118	rna22162	rna-XM_034664097.1
OG0001119	rna38507	rna-XM_034672024.1
OG0001119	rna1226	rna-XM_034660734.1
OG0001120	rna12025	rna-XM_034664135.1
OG0001120	rna38426	rna-XM_034671596.1
OG0001121	rna1535	rna-XM_002912447.4
OG0001121	rna38177	rna-XM_034671213.1
OG0001122	rna24306	rna-XM_011224518.3
OG0001122	rna14240	rna-XM_034672118.1
OG0001123	rna23977	rna-XM_034655866.1
OG0001123	rna14227	rna-XM_011221936.3
OG0001124	rna26129	rna-XM_034671429.1
OG0001124	rna26126	rna-XM_034671667.1
OG0001125	rna23907	rna-XM_034655823.1
OG0001125	rna26462	rna-XM_011219098.3
OG0001126	rna6922	rna-XM_011231045.3
OG0001126	rna25275	rna-XM_034671819.1
OG0001127	rna25201	rna-XM_002921755.4
OG0001127	rna14126	rna-XM_034656190.1
OG0001128	rna25097	rna-XM_019808911.2
OG0001128	rna25098	rna-XM_019808910.2
OG0001129	rna48068	rna-XM_011218156.3
OG0001129	rna48074	rna-XM_034672153.1
OG0001130	rna7578	rna-XM_011219256.3
OG0001130	rna22570	rna-XM_002930738.4
OG0001131	rna21964	rna-XM_002931162.4
OG0001131	rna21959	rna-XM_034664216.1
OG0001132	rna31645	rna-XM_011219698.3
OG0001132	rna31644	rna-XM_034664657.1
OG0001133	rna7231	rna-XM_002919110.4
OG0001133	rna7198	rna-XM_034665136.1
OG0001134	rna7356	rna-XM_034665250.1
OG0001134	rna7357	rna-XM_011220562.3
OG0001135	rna7488	rna-XM_034663805.1
OG0001135	rna14074	rna-XM_034655684.1, rna-XM_002924688.1
OG0001136	rna53342	rna-XM_034653428.1
OG0001136	rna53341, rna53416	rna-XM_011217964.3
OG0001137	rna48833	rna-XM_002921032.4
OG0001137	rna48831	rna-XM_034648542.1
OG0001138	id581361	id-LOC105235011
OG0001139	rna24893	rna-XM_019792732.2
OG0001139	rna24894	rna-XM_019792683.2
OG0001140	rna25017	rna-XM_019803969.2
OG0001140	rna25015	rna-XM_034647768.1
OG0001141	rna87	rna-XM_034651736.1
OG0001142	rna207	rna-XM_002925877.4
OG0001142	rna210	rna-XM_034655423.1
OG0001143	rna1393	rna-XM_011220311.3
OG0001143	rna556	rna-XM_034656787.1
OG0001144	rna558	rna-XM_034656798.1
OG0001144	rna563	rna-XM_034656877.1
OG0001145	rna22708	rna-XM_034657080.1
OG0001145	rna1072	rna-XM_034659631.1
OG0001146	rna11977	rna-XM_019796512.1
OG0001146	rna11976	rna-XM_002916349.3
OG0001147	rna2629, rna29728	rna-XM_019799685.2
OG0001148	rna2680	rna-XM_034670362.1
OG0001148	rna2679	rna-XM_034670359.1
OG0001149	rna3210	rna-XM_011230960.3
OG0001149	rna3209	rna-XM_002924161.4
OG0001150	rna12170	rna-XM_019794025.1, rna-XM_034652326.1
OG0001151	rna23780	rna-XM_002930262.2
OG0001152	rna23783	rna-XM_002929841.1
OG0001152	rna23784	rna-XM_034655680.1
OG0001153	rna23796	rna-XM_019793777.2
OG0001154	rna23797, rna23798, rna53125	rna-XM_002930560.4
OG0001155	rna23833	rna-XM_002930421.4
OG0001156	rna24493	rna-XM_002912559.4
OG0001156	rna24492	rna-XM_002912560.4
OG0001164	rna50433	rna-XM_034652733.1, rna-XM_034651159.1, rna-XM_034650280.1, rna-XM_034650436.1, rna-XM_002921010.4
OG0001165	rna34312	rna-XM_034650654.1, rna-XM_034651853.1, rna-XM_002918335.4, rna-XM_034660193.1
OG0001166	rna34695	rna-XM_034652261.1, rna-XM_034652049.1, rna-XM_034652068.1, rna-XM_034651212.1, rna-XM_002921868.3
OG0001167	rna34446	rna-XM_002930355.4
OG0001167	rna3466	rna-XM_002914987.4
OG0001168	rna13093	rna-XM_034651558.1
OG0001169	rna53918	rna-XM_034652079.1, rna-XM_002931373.4, rna-XM_034655331.1
OG0001170	rna13009	rna-XM_002927839.4
OG0001170	rna39635	rna-XM_034647289.1
OG0001171	rna17982	rna-XM_034645052.1
OG0001171	rna12913	rna-XM_002915740.4
OG0001172	rna12609	rna-XM_034653697.1
OG0001172	rna926	rna-XM_034658846.1
OG0001173	rna2932	rna-XM_034671934.1
OG0001173	rna46779	rna-XM_011224988.3
OG0001174	rna23632	rna-NM_001374249.1, rna-XM_034648196.1
OG0001175	rna43134	rna-XM_011237394.3
OG0001175	rna48938	rna-XM_002919345.4
OG0001176	rna48864	rna-XM_034651380.1, rna-XM_034641900.1
OG0001177	rna26648	rna-XM_034642051.1
OG0001177	rna15548	rna-XM_034644300.1
OG0001178	rna6490	rna-XM_034642243.1
OG0001178	rna40703	rna-XM_034643926.1
OG0001179	rna6242	rna-XM_019809435.2
OG0001179	rna39035	rna-XM_034648857.1
OG0001180	rna45508	rna-XM_034643657.1
OG0001180	rna5842	rna-XM_019798416.2
OG0001181	rna5786	rna-XM_019802140.2
OG0001182	rna38051	rna-XM_034672292.1
OG0001182	rna5581	rna-XM_019805888.2
OG0001183	rna5420	rna-XM_034650545.1, rna-XM_034651002.1, rna-XM_034651008.1, rna-XM_034641068.1
OG0001184	rna46002	rna-XM_034651860.1, rna-XM_034652913.1, rna-XM_011224704.3, rna-XM_034651152.1, rna-XM_034650250.1
OG0001185	rna4554	rna-XM_034651073.1, rna-XM_034651930.1, rna-XM_034650848.1, rna-XM_034650699.1, rna-XM_002921806.4
OG0001186	rna52661	rna-XM_034650429.1, rna-XM_034650360.1, rna-XM_034638064.1, rna-XM_011237855.2
OG0001187	rna37991	rna-XM_034650488.1, rna-XM_034650621.1, rna-XM_034650640.1, rna-XM_034650895.1, rna-XM_019797269.2
OG0001188	rna16859	rna-XM_034651293.1, rna-NM_001304930.1
OG0001189	rna27169	rna-XM_034650581.1, rna-XM_034650490.1, rna-XM_034650968.1, rna-XM_034652668.1, rna-XM_011225407.3
OG0001190	rna32146, rna32150	rna-XM_034637893.1
OG0001191	rna32195	rna-XM_034652209.1, rna-XM_034652561.1, rna-XM_034652254.1, rna-XM_034638576.1, rna-XM_034652179.1
OG0001192	rna15873	rna-XM_034651081.1, rna-XM_034651405.1, rna-XM_002912733.4
OG0001193	rna33908	rna-XM_011233080.3
OG0001193	rna32448	rna-XM_019800430.1
OG0001194	rna35877	rna-XM_002912309.4
OG0001194	rna32559	rna-XM_034637788.1
OG0001195	rna46865	rna-XM_034650325.1, rna-XM_034638002.1, rna-XM_034650232.1, rna-XM_034672368.1
OG0001196	rna46937	rna-XM_034638202.1
OG0001196	rna35689	rna-XM_019804193.2
OG0001198	rna39397	rna-XM_034647033.1
OG0001199	rna53692	rna-XM_034639535.1
OG0001200	rna50918	rna-XM_034651539.1, rna-XM_034651049.1, rna-XM_034651051.1, rna-XM_034651048.1, rna-NM_001304854.1
OG0001201	rna50829	rna-XM_034650290.1, rna-XM_034650337.1
OG0001201	rna50823	rna-XM_034650363.1, rna-XM_034638107.1
OG0001202	rna50618	rna-XM_034639149.1
OG0001203	rna50675	rna-XM_011237874.3
OG0001204	rna44160	rna-XM_034672888.1
OG0001204	rna44161	rna-XM_011237746.3
OG0001205	rna43664	rna-XM_034662904.1
OG0001205	rna46509	rna-XM_011227059.3
OG0001206	rna8846	rna-XM_034639357.1
OG0001206	rna1450	rna-XM_034661871.1
OG0001207	rna8951	rna-XM_034638961.1
OG0001207	rna22623	rna-XM_019799247.2
OG0001208	rna28243	rna-XM_034638571.1, rna-XM_011220460.3
OG0001209	rna9508	rna-XM_034639606.1
OG0001209	rna22638	rna-XM_034655676.1
OG0001210	rna9590	rna-XM_002925117.4, rna-XM_034650889.1, rna-XM_034651407.1, rna-XM_034651237.1
OG0001211	rna8740	rna-XM_019803562.2
OG0001212	rna8676	rna-XM_034672684.1
OG0001213	rna39958	rna-XM_034652365.1, rna-XM_034652088.1, rna-XM_034651489.1, rna-XM_034652221.1, rna-XM_002914240.4
OG0001216	rna25599	rna-XM_034652590.1, rna-XM_034650885.1, rna-XM_034650275.1, rna-XM_034652911.1, rna-XM_019799817.2
OG0001217	rna23058	rna-XM_034648218.1, rna-XM_034652569.1, rna-XM_034648215.1
OG0001218	rna53824	rna-XM_011218128.3, rna-XM_002931246.4
OG0001219	rna40325	rna-XM_002928710.4
OG0001220	rna39791	rna-XM_034649325.1
OG0001221	rna39753	rna-XM_019808137.2, rna-XM_034650642.1, rna-XM_034650641.1
OG0001222	rna42144	rna-XM_019809694.2
OG0001222	rna33017	rna-XM_034643378.1
OG0001223	rna42098	rna-XM_002919480.3
OG0001223	rna42099	rna-XM_034649913.1
OG0001224	rna30531	rna-XM_034649821.1
OG0001224	rna20754	rna-XM_034669247.1
OG0001225	rna30619	rna-XM_011230628.3
OG0001226	rna30659	rna-XM_011237210.3
OG0001227	rna30771	rna-XM_002917762.4
OG0001227	rna40860	rna-XM_034644418.1
OG0001228	rna30840	rna-XM_034649983.1
OG0001229	rna42044	rna-XM_011237165.3
OG0001229	rna42046	rna-XM_034649029.1
OG0001230	rna39210	rna-XM_034647122.1, rna-XM_034652186.1, rna-XM_034652055.1, rna-XM_034649386.1
OG0001231	rna53277	rna-XM_034653550.1
OG0001232	rna24285	rna-XM_002912915.4
OG0001232	rna40676	rna-XM_034649996.1
OG0001233	rna1819	rna-XM_034665584.1
OG0001233	rna38987	rna-XM_011217678.2
OG0001234	rna53357	rna-XM_019793344.2
OG0001234	rna7157	rna-XM_011222991.3
OG0001235	rna7618	rna-XM_002914865.4
OG0001235	rna41627	rna-XM_011225832.3
OG0001236	rna21057	rna-XM_002925711.4
OG0001236	rna49880	rna-XM_019805245.2
OG0001237	rna51680	rna-XM_002929081.4
OG0001237	rna17601	rna-XM_034646376.1
OG0001238	rna51647	rna-XM_034652918.1, rna-XM_002928811.2
OG0001239	rna841	rna-XM_002917311.4
OG0001241	rna6342, rna6341	rna-XM_002926742.4, rna-XM_011218374.3
OG0001243	rna21188	rna-XM_034666082.1, rna-XM_034650265.1, rna-XM_034652660.1, rna-XM_034651141.1, rna-XM_034650249.1
OG0001244	rna54221, rna54219	rna-XM_034670137.1, rna-XM_034651683.1
OG0001245	rna14360	rna-XM_034651176.1
OG0001245	rna14361	rna-XM_034643158.1, rna-XM_034651211.1
OG0001245	rna14362	rna-XM_034651184.1
OG0001246	rna28157, rna28152, rna28186, rna27989	rna-XM_034660183.1
OG0001247	rna28210	rna-XM_002915831.4, rna-XM_019795911.2
OG0001248	rna28568	rna-XM_034660192.1
OG0001248	rna19433	rna-XM_034640234.1
OG0001249	rna28480	rna-XM_002915905.4
OG0001249	rna28481	rna-XM_034660328.1
OG0001250	rna28420	rna-XM_034660384.1
OG0001251	rna44741	rna-XM_034651063.1, rna-XM_034651062.1, rna-XM_034651461.1, rna-NM_001304905.1
OG0001252	rna41176	rna-XM_034643700.1
OG0001252	rna44812	rna-XM_034660620.1
OG0001253	rna39956	rna-XM_034660848.1
OG0001253	rna24103	rna-XM_034655921.1
OG0001254	rna47367	rna-XM_002922496.4
OG0001254	rna36885, rna50690	rna-XM_002929814.4
OG0001255	rna24056	rna-XM_011220019.3
OG0001255	rna36675	rna-XM_034660977.1
OG0001256	rna27624	rna-XM_011222246.3
OG0001256	rna37105	rna-XM_011221449.3
OG0001257	rna14793	rna-XM_034661729.1
OG0001258	rna35840	rna-NM_001304856.1
OG0001259	rna7101	rna-XM_034665086.1
OG0001259	rna14553	rna-XM_002916232.3
OG0001260	rna7343	rna-XM_011220567.3
OG0001260	rna14501	rna-XM_002916140.4
OG0001261	rna22234	rna-XM_034651958.1
OG0001262	rna11934	rna-XM_034661847.1
OG0001262	rna11936	rna-XM_002927043.4
OG0001263	rna11528	rna-XM_034651950.1, rna-XM_034650787.1, rna-XM_034650523.1, rna-XM_011229532.3
OG0001264	rna32781	rna-XM_034668511.1, rna-XM_034642808.1
OG0001265	rna11206	rna-XM_034663558.1
OG0001266	rna45668	rna-XM_011237575.3
OG0001266	rna19754	rna-XM_034662372.1
OG0001267	rna19849	rna-XM_019797350.2
OG0001267	rna31116	rna-XM_034648448.1
OG0001268	rna4343	rna-XM_034657278.1
OG0001268	rna43727	rna-XM_002916102.4
OG0001269	rna24553	rna-XM_034647710.1
OG0001269	rna8328	rna-XM_019795492.2
OG0001270	rna8417	rna-XM_011234059.3
OG0001271	rna27436	rna-XM_011229631.3
OG0001271	rna47325	rna-XM_034667532.1
OG0001272	rna27402	rna-XM_019803534.2
OG0001272	rna13685	rna-XM_019796394.2
OG0001273	rna27302	rna-XM_034667810.1
OG0001274	rna34122	rna-XM_034643295.1
OG0001274	rna27277	rna-NM_001304891.1
OG0001275	rna27041	rna-XM_034667944.1
OG0001275	rna24168	rna-XM_034655957.1
OG0001276	rna27020	rna-XM_034667955.1
OG0001276	rna37070	rna-XM_011231366.3
OG0001277	rna27016	rna-XM_034667957.1
OG0001277	rna22776	rna-XM_002919437.4
OG0001278	rna10234	rna-XM_002916903.4
OG0001279	rna10045	rna-XM_011237248.3
OG0001280	rna9966	rna-XM_011229138.3
OG0001280	rna3399	rna-XM_034659918.1
OG0001281	rna9939	rna-XM_034668413.1
OG0001281	rna23186	rna-XM_034647838.1
OG0001282	rna9793	rna-XM_019808628.2
OG0001283	rna42987	rna-XM_034651302.1, rna-XM_034650301.1, rna-XM_034651481.1, rna-XM_034657425.1, rna-XM_034669540.1
OG0001284	rna36087	rna-XM_034650189.1
OG0001284	rna36088	rna-XM_034667720.1, rna-XM_034650076.1
OG0001285	rna15813	rna-XM_034651564.1, rna-XM_034651576.1, rna-XM_034651563.1, rna-XM_034651566.1, rna-NM_001304881.1
OG0001286	rna23625	rna-XM_019794415.2
OG0001286	rna15077	rna-XM_011224999.3
OG0001287	rna32716	rna-XM_034643030.1
OG0001287	rna23543	rna-XM_034648210.1
OG0001289	rna22517	rna-XM_034653098.1, rna-XM_034663899.1
