Orthogroup	ursArc.longCDS.prots	homSap.longCDS.prots
OG0000749	rna43080	ENST00000589578.5
OG0000749	rna48929	ENST00000368888.8
OG0000750	rna11241	ENST00000359576.9
OG0000750	rna26809	ENST00000263710.8
OG0000751	rna26655	ENST00000280098.8
OG0000751	rna30360	ENST00000393328.6
OG0000752	rna6780	ENST00000241416.11
OG0000752	rna11335	ENST00000352511.4
OG0000753	rna17378	ENST00000548825.6
OG0000753	rna6719	ENST00000410080.5
OG0000754	rna10721	ENST00000269195.5
OG0000754	rna6715	ENST00000409237.5
OG0000756	rna17283	ENST00000543196.6
OG0000756	rna6556	ENST00000392701.7
OG0000757	rna11349	ENST00000431162.6
OG0000757	rna6553	ENST00000243344.7
OG0000758	rna6541	ENST00000355999.4
OG0000758	rna11326	ENST00000311806.7
OG0000759	rna29689	ENST00000326270.13
OG0000759	rna6483	ENST00000360843.7
OG0000760	rna6465	ENST00000397119.7
OG0000760	rna2243	ENST00000324972.10
OG0000761	rna2250	ENST00000416240.6
OG0000761	rna6460	ENST00000422440.6
OG0000762	rna42114	ENST00000441463.2
OG0000762	rna6445	ENST00000392571.6
OG0000763	rna6407	ENST00000409900.7
OG0000763	rna2591	ENST00000222792.10
OG0000764	rna11545	ENST00000281523.7
OG0000764	rna6280	ENST00000410066.5
OG0000765	rna17074	ENST00000293373.10
OG0000765	rna6253	ENST00000360982.2
OG0000766	rna15593	ENST00000311966.8
OG0000766	rna6151	ENST00000320717.7
OG0000767	rna15555	ENST00000300119.7
OG0000767	rna6137	ENST00000392318.7
OG0000768	rna6072	ENST00000428675.5
OG0000768	rna11580	ENST00000615277.4
OG0000769	rna23971	ENST00000316308.8
OG0000769	rna6028	ENST00000434813.3
OG0000770	rna2128	ENST00000380050.7
OG0000770	rna5970	ENST00000450471.6
OG0000771	rna5937	ENST00000449802.5
OG0000771	rna16030	ENST00000450053.7
OG0000772	rna32233	ENST00000302182.7
OG0000773	rna5830	ENST00000304502.4
OG0000773	rna5833	ENST00000282141.3
OG0000774	rna5748	ENST00000273067.4
OG0000774	rna15483	ENST00000266643.5
OG0000775	rna5702	ENST00000233202.10
OG0000775	rna17317	ENST00000394904.7
OG0000776	rna15475	ENST00000257861.7
OG0000776	rna5697	ENST00000248444.9
OG0000777	rna5673	ENST00000258411.7
OG0000777	rna17421	ENST00000301061.8
OG0000778	rna5590	ENST00000273063.10
OG0000778	rna40986	ENST00000485713.5
OG0000779	rna5568	ENST00000357430.7
OG0000779	rna40564	ENST00000469796.6
OG0000780	rna5396	ENST00000264059.7
OG0000780	rna38142	ENST00000375980.8
OG0000781	rna5370	ENST00000264057.6
OG0000781	rna7333	ENST00000337343.8
OG0000782	rna5207	ENST00000319423.4, ENST00000402971.3
OG0000783	rna5181	ENST00000498729.7
OG0000783	rna38241	ENST00000377081.5
OG0000784	rna5146	ENST00000264042.7
OG0000784	rna7579	ENST00000595437.5
OG0000785	rna5143	ENST00000316586.8
OG0000785	rna7584	ENST00000376547.7
OG0000786	rna54340, rna31807	ENST00000291744.10, ENST00000270879.8
OG0000787	rna14948	ENST00000525566.5
OG0000787	rna16997	ENST00000524230.6
OG0000788	rna31560	ENST00000372692.8, ENST00000596516.2
OG0000789	rna32833	ENST00000216554.7
OG0000790	rna50827	ENST00000302907.8
OG0000791	rna33851	ENST00000344575.4
OG0000791	rna32205	ENST00000229030.4
OG0000792	rna32308	ENST00000320201.8
OG0000792	rna45123	ENST00000534749.5
OG0000793	rna32388	ENST00000342607.10
OG0000793	rna33869	ENST00000439537.5
OG0000794	rna32481	ENST00000202773.13
OG0000795	rna32487	ENST00000257600.3
OG0000795	rna49474	ENST00000227451.3
OG0000796	rna35621	ENST00000614239.1
OG0000796	rna32518	ENST00000261731.3
OG0000797	rna35563	ENST00000397786.6
OG0000797	rna32530	ENST00000281928.7
OG0000798	rna32547	ENST00000618760.4
OG0000798	rna40977	ENST00000297494.7
OG0000799	rna32673	ENST00000310903.9
OG0000799	rna35957	ENST00000359786.9
OG0000800	rna32702	ENST00000355312.7
OG0000800	rna35886	ENST00000394869.7
OG0000801	rna47016	ENST00000332585.10
OG0000801	rna53169	ENST00000263847.5
OG0000802	rna30658	ENST00000339042.5
OG0000802	rna47013	ENST00000404885.5
OG0000803	rna33707	ENST00000322090.7
OG0000803	rna46953	ENST00000216121.11
OG0000804	rna46938	ENST00000357586.6
OG0000804	rna35691	ENST00000610402.4
OG0000805	rna46868	ENST00000324198.10
OG0000805	rna45154	ENST00000308595.9
OG0000806	rna51843	ENST00000408957.4
OG0000806	rna8638	ENST00000314994.4
OG0000807	rna54064, rna51862	ENST00000336614.8, ENST00000536459.6
OG0000808	rna51966	ENST00000596831.1, ENST00000601674.5
OG0000809	rna50906	ENST00000590333.5
OG0000809	rna44945	ENST00000382179.5
OG0000810	rna44937	ENST00000332231.9
OG0000810	rna43794	ENST00000359032.9
OG0000811	rna44989	ENST00000533060.5
OG0000811	rna43859	ENST00000252826.9
OG0000812	rna43878	ENST00000331825.10
OG0000813	rna43911, rna43913	ENST00000425340.2
OG0000814	rna48841	ENST00000539517.6
OG0000814	rna44045	ENST00000263257.5
OG0000815	rna44242	ENST00000301218.8
OG0000815	rna21420	ENST00000527524.7
OG0000816	rna19891	ENST00000366690.4
OG0000816	rna44319	ENST00000594800.5, ENST00000594136.1
OG0000817	rna18444	ENST00000377943.9
OG0000817	rna44326	ENST00000243563.7
OG0000818	rna44383	ENST00000221801.7
OG0000818	rna27771	ENST00000338333.4
OG0000819	rna44401	ENST00000339471.8
OG0000820	rna18500	ENST00000378423.5
OG0000820	rna44423	ENST00000358301.7
OG0000821	rna8835	ENST00000340124.8
OG0000821	rna51278	ENST00000528431.5
OG0000822	rna11114	ENST00000585159.5
OG0000822	rna8859	ENST00000219197.10
OG0000823	rna8872	ENST00000394697.6
OG0000823	rna22658	ENST00000338316.8
OG0000824	rna8978	ENST00000394485.4
OG0000825	rna9231	ENST00000602677.5
OG0000825	rna28530	ENST00000011619.5
OG0000826	rna10100	ENST00000433389.6
OG0000826	rna9267	ENST00000565858.5
OG0000827	rna11065	ENST00000238497.9
OG0000827	rna9308	ENST00000570054.3, ENST00000254950.12
OG0000828	rna9342	ENST00000268489.9
OG0000828	rna10329	ENST00000521891.6
OG0000829	rna48746	ENST00000308724.9
OG0000829	rna9367	ENST00000393512.7
OG0000831	rna13817	ENST00000380591.7
OG0000832	rna12070	ENST00000389589.8
OG0000832	rna39901	ENST00000381578.6, ENST00000381578.6_PAR_Y
OG0000833	rna42175	ENST00000379806.9
OG0000833	rna26199	ENST00000295266.5
OG0000834	rna20652	ENST00000359015.4
OG0000834	rna42171	ENST00000338883.8
OG0000835	rna42136	ENST00000327968.6
OG0000835	rna23179	ENST00000370336.4
OG0000836	rna53294, rna42122	ENST00000538173.1, ENST00000253039.8
OG0000837	rna53290, rna42116	ENST00000379188.7
OG0000838	rna30514	ENST00000427190.5, ENST00000505354.2
OG0000838	rna26444	ENST00000358842.4
OG0000839	rna26486	ENST00000515604.5, ENST00000424749.6
OG0000840	rna48411	ENST00000314138.10
OG0000841	rna30685	ENST00000616978.4
OG0000841	rna41598	ENST00000370695.7
OG0000842	rna16834	ENST00000621198.4
OG0000842	rna30735	ENST00000295987.12
OG0000843	rna51064	ENST00000396435.8
OG0000843	rna16927	ENST00000613206.1
OG0000844	rna37014	ENST00000376395.8
OG0000844	rna51840	ENST00000338222.6
OG0000845	rna52986	ENST00000358697.5, ENST00000374888.2
OG0000846	rna47999	ENST00000338352.2
OG0000846	rna10171	ENST00000617869.4
OG0000847	rna48017	ENST00000622259.4
OG0000847	rna28756	ENST00000230085.12
OG0000848	rna49492	ENST00000373502.9
OG0000848	rna25299	ENST00000263921.7
OG0000849	rna42031	ENST00000358075.10
OG0000849	rna24730	ENST00000503731.5
OG0000850	rna7148	ENST00000242839.8
OG0000850	rna42033	ENST00000341514.10
OG0000851	rna49905, rna49936	ENST00000366553.2
OG0000851	rna42082	ENST00000357749.6
OG0000852	rna45643	ENST00000373054.5
OG0000852	rna7392	ENST00000400324.8
OG0000853	rna27405	ENST00000331268.9
OG0000853	rna52041	ENST00000360458.5
OG0000854	rna54251	ENST00000537356.3
OG0000854	rna40657	ENST00000310164.2
OG0000855	rna39795	ENST00000317552.8
OG0000855	rna40548	ENST00000262843.10
OG0000856	rna7096	ENST00000625583.2
OG0000856	rna40602	ENST00000262839.2
OG0000857	rna22425	ENST00000359039.4
OG0000857	rna40635	ENST00000469946.5
OG0000858	rna40685	ENST00000361575.3
OG0000859	rna40380, rna38942	ENST00000371315.3
OG0000860	rna38976	ENST00000218089.13
OG0000860	rna11754	ENST00000383202.6
OG0000861	rna38990	ENST00000371124.4
OG0000861	rna38417	ENST00000378404.3
OG0000862	rna14551	ENST00000283131.3
OG0000862	rna38998	ENST00000371121.4
OG0000863	rna36753	ENST00000267807.11
OG0000863	rna39026	ENST00000370978.8
OG0000864	rna39031	ENST00000612248.4
OG0000864	rna7283	ENST00000519676.5
OG0000865	rna39068	ENST00000521489.5
OG0000865	rna7562	ENST00000376705.3
OG0000866	rna39070	ENST00000370828.3
OG0000866	rna7529	ENST00000377047.8
OG0000867	rna49858	ENST00000370277.3
OG0000867	rna10536	ENST00000327228.4
OG0000868	rna53770, rna53299	ENST00000634648.1, ENST00000602548.2, ENST00000417339.2
OG0000869	rna28396	ENST00000380274.1
OG0000869	rna51629	ENST00000393600.7
OG0000870	rna52331	ENST00000615853.1, ENST00000620016.1, ENST00000354514.5
OG0000871	rna47940	ENST00000289957.2
OG0000871	rna27433	ENST00000299565.9
OG0000872	rna40060	ENST00000307961.10
OG0000874	rna1767	ENST00000308153.8
OG0000874	rna26159	ENST00000296417.5
OG0000875	rna42158	ENST00000361365.6
OG0000875	rna52364	ENST00000379607.9
OG0000876	rna23908	ENST00000253778.12
OG0000876	rna4474	ENST00000357308.8
OG0000878	rna52137, rna52122	ENST00000377294.2, ENST00000252211.6
OG0000879	rna37171	ENST00000524189.5
OG0000879	rna28577	ENST00000636847.1
OG0000880	rna28558	ENST00000259727.4
OG0000880	rna48790	ENST00000557854.5
OG0000881	rna44762	ENST00000311875.9
OG0000881	rna45725	ENST00000453326.2
OG0000882	rna44770	ENST00000274938.7
OG0000882	rna41319	ENST00000360835.8
OG0000883	rna44787	ENST00000322203.6
OG0000884	rna44841	ENST00000229812.7
OG0000884	rna17730	ENST00000389032.7
OG0000885	rna42387	ENST00000395125.1
OG0000885	rna44927	ENST00000633794.1
OG0000886	rna10831	ENST00000262160.10
OG0000886	rna40071	ENST00000327367.8
OG0000887	rna43277	ENST00000328024.10
OG0000887	rna40042	ENST00000261890.6
OG0000888	rna40035	ENST00000635620.1
OG0000888	rna22451	ENST00000434457.6
OG0000889	rna39991	ENST00000300069.4
OG0000889	rna24615	ENST00000517860.5
OG0000890	rna10985	ENST00000635997.1
OG0000890	rna36745	ENST00000508342.5
OG0000891	rna36683	ENST00000308580.11
OG0000891	rna36681	ENST00000249700.8
OG0000892	rna41738	ENST00000396923.7
OG0000892	rna13381	ENST00000613674.4
OG0000893	rna41787	ENST00000290650.8
OG0000893	rna23588	ENST00000372899.5
OG0000894	rna41521	ENST00000216024.6
OG0000894	rna41897	ENST00000532743.5
OG0000895	rna41968	ENST00000561208.5
OG0000895	rna4513	ENST00000398506.6
OG0000896	rna37282	ENST00000519685.5
OG0000896	rna19954	ENST00000337910.9
OG0000897	rna27792	ENST00000523189.5
OG0000897	rna37348	ENST00000433566.8
OG0000898	rna37213	ENST00000407991.2
OG0000898	rna19554	ENST00000370263.8
OG0000899	rna27623	ENST00000297107.10
OG0000899	rna37092	ENST00000506823.5
OG0000900	rna24352	ENST00000309755.8
OG0000900	rna14796	ENST00000514860.5
OG0000901	rna14794, rna14790	ENST00000503032.1
OG0000902	rna14613	ENST00000317605.5
OG0000902	rna7053	ENST00000379919.5
OG0000903	rna7055	ENST00000360631.7
OG0000903	rna14602	ENST00000302176.8
OG0000904	rna14109	ENST00000274498.8
OG0000904	rna14593	ENST00000336498.7
OG0000905	rna14519	ENST00000442267.2
OG0000905	rna23917	ENST00000356834.7
OG0000906	rna15631	ENST00000536128.5
OG0000907	rna46388, rna36337	ENST00000278572.10
OG0000908	rna23724, rna23708, rna23720	ENST00000318244.3
OG0000909	rna15849	ENST00000222256.8
OG0000909	rna13998	ENST00000282878.5
OG0000910	rna51195	ENST00000334062.7
OG0000910	rna11833	ENST00000452898.2
OG0000911	rna38275	ENST00000328089.10
OG0000911	rna11824	ENST00000310546.2
OG0000912	rna36282	ENST00000310653.10, ENST00000410061.3, ENST00000623617.2
OG0000913	rna11638	ENST00000358511.10
OG0000913	rna11635	ENST00000312481.11
OG0000914	rna11558	ENST00000263754.4
OG0000914	rna29997	ENST00000225916.9
OG0000915	rna30002	ENST00000316082.4
OG0000915	rna11532	ENST00000388759.7
OG0000916	rna30112	ENST00000394121.8
OG0000916	rna11525	ENST00000280696.9
OG0000917	rna11458	ENST00000282538.9
OG0000917	rna17201	ENST00000267085.8
OG0000918	rna20085	ENST00000373242.6
OG0000918	rna24304	ENST00000402673.6
OG0000919	rna20121	ENST00000335350.10
OG0000919	rna26201	ENST00000453304.5
OG0000920	rna47922	ENST00000518421.5
OG0000920	rna20225	ENST00000355264.8
OG0000921	rna4173	ENST00000306434.7
OG0000921	rna20308	ENST00000372213.7
OG0000922	rna43710	ENST00000371627.4
OG0000922	rna24595	ENST00000310430.10
OG0000923	rna4354	ENST00000410020.7
OG0000923	rna43737	ENST00000359263.8
OG0000924	rna7822	ENST00000370602.5
OG0000924	rna47909	ENST00000518270.5
OG0000925	rna24576	ENST00000276461.9
OG0000925	rna7874	ENST00000421367.6
OG0000926	rna7939	ENST00000370187.7
OG0000926	rna27805	ENST00000265094.9
OG0000927	rna8008	ENST00000369905.8
OG0000927	rna4887	ENST00000289228.6
OG0000928	rna8085	ENST00000369701.7
OG0000928	rna8089	ENST00000263054.10
OG0000929	rna8221	ENST00000277895.9
OG0000929	rna27488	ENST00000309868.11
OG0000930	rna8236	ENST00000355044.7
OG0000930	rna18605	ENST00000262919.9
OG0000931	rna8252	ENST00000635765.1
OG0000931	rna18587	ENST00000254963.6
OG0000932	rna8427	ENST00000309035.10
OG0000932	rna48243	ENST00000290921.10
OG0000933	rna8469	ENST00000254667.7
OG0000933	rna18627	ENST00000380393.7
OG0000934	rna8614, rna54015, rna54014	ENST00000640237.1
OG0000935	rna49756, rna53990, rna53993	ENST00000289451.3, ENST00000314902.2
OG0000936	rna27427	ENST00000258886.12
OG0000936	rna22333	ENST00000541043.5
OG0000937	rna22777	ENST00000504830.5
OG0000938	rna27275	ENST00000310298.8
OG0000938	rna13748	ENST00000264917.9
OG0000939	rna27234	ENST00000268171.7
OG0000939	rna42909	ENST00000300954.9
OG0000940	rna27232	ENST00000559717.5
OG0000940	rna13327	ENST00000261483.4
OG0000941	rna27228	ENST00000639885.1
OG0000941	rna35700	ENST00000268876.9
OG0000942	rna24032	ENST00000316788.11
OG0000942	rna27199	ENST00000558011.5
OG0000943	rna13806	ENST00000302351.8
OG0000943	rna27143	ENST00000337975.5
OG0000944	rna13456	ENST00000614616.4
OG0000944	rna27119	ENST00000394196.8
OG0000945	rna24172	ENST00000305031.4
OG0000945	rna27025	ENST00000254190.3
OG0000946	rna37660	ENST00000265381.6
OG0000946	rna27002	ENST00000561069.5
OG0000947	rna37678	ENST00000357533.6
OG0000947	rna26995	ENST00000542188.5
OG0000948	rna40247	ENST00000343932.4
OG0000948	rna40245	ENST00000395048.6
OG0000949	rna20467	ENST00000368417.5
OG0000950	rna10412	ENST00000262215.7
OG0000950	rna19306	ENST00000371917.4
OG0000951	rna10407	ENST00000288368.4
OG0000951	rna19305	ENST00000371941.3
OG0000952	rna10400	ENST00000260128.8
OG0000952	rna19302	ENST00000359930.8
OG0000953	rna20605	ENST00000531901.5
OG0000953	rna10378	ENST00000388742.8
OG0000954	rna10333	ENST00000396423.2
OG0000954	rna19149	ENST00000316099.8
OG0000955	rna10035	ENST00000523601.5
OG0000955	rna19187	ENST00000372806.7
OG0000956	rna3456	ENST00000381323.7
OG0000956	rna9662	ENST00000519824.6
OG0000957	rna3581	ENST00000403714.7
OG0000957	rna9648	ENST00000637848.1
OG0000958	rna43360, rna54370	ENST00000397910.8
OG0000959	rna22681	ENST00000280326.8
OG0000960	rna23498	ENST00000259746.13
OG0000960	rna26013	ENST00000366835.7
OG0000961	rna21141	ENST00000392580.5
OG0000961	rna23201	ENST00000230053.10
OG0000962	rna23052	ENST00000369705.3
OG0000962	rna36523	ENST00000393324.7
OG0000963	rna22361	ENST00000262244.5
OG0000963	rna42970	ENST00000357066.7
OG0000964	rna24146	ENST00000261366.9
OG0000964	rna42998	ENST00000325327.3
OG0000965	rna13916	ENST00000380985.9
OG0000965	rna43012	ENST00000307741.10
OG0000966	rna43073	ENST00000322315.5
OG0000966	rna50508	ENST00000393033.8
OG0000967	rna43173	ENST00000252542.8
OG0000967	rna43174	ENST00000588852.1
OG0000968	rna13930	ENST00000381055.7
OG0000968	rna43254	ENST00000270328.8
OG0000969	rna43457	ENST00000590923.5
OG0000969	rna15727	ENST00000444449.6
OG0000970	rna52939	ENST00000221742.7
OG0000970	rna22841	ENST00000265113.8
OG0000971	rna31536	ENST00000300456.4
OG0000971	rna15796	ENST00000252595.11
OG0000972	rna15800	ENST00000252599.8
OG0000972	rna25641	ENST00000361927.8
OG0000973	rna15998	ENST00000292301.4
OG0000973	rna15999	ENST00000292303.4
OG0000974	rna15627	ENST00000550164.5
OG0000974	rna16054	ENST00000254480.9
OG0000975	rna16174	ENST00000265560.8
OG0000975	rna15455	ENST00000280377.9
OG0000976	rna16284	ENST00000266037.9
OG0000976	rna2728	ENST00000445943.5
OG0000977	rna16299	ENST00000395052.7
OG0000977	rna2056	ENST00000361669.6
OG0000978	rna16323	ENST00000495880.1
OG0000978	rna15184	ENST00000279488.7
OG0000979	rna16347	ENST00000422318.6
OG0000979	rna14971	ENST00000392876.7
OG0000980	rna16395	ENST00000394729.6
OG0000980	rna40425	ENST00000263125.9
OG0000981	rna18328	ENST00000586184.5
OG0000981	rna16416	ENST00000415676.6
OG0000982	rna16418	ENST00000474267.5
OG0000982	rna18322	ENST00000537031.5
OG0000983	rna16454	ENST00000303436.10
OG0000983	rna2870	ENST00000000233.9
OG0000984	rna16456	ENST00000311128.9
OG0000984	rna41163	ENST00000413817.7
OG0000985	rna2824	ENST00000615869.4
OG0000985	rna16549	ENST00000383710.8
OG0000986	rna17563	ENST00000389420.7
OG0000986	rna16577	ENST00000498707.5
OG0000987	rna16593	ENST00000402939.6
OG0000987	rna2024	ENST00000354212.8
OG0000988	rna16858	ENST00000456430.6
OG0000988	rna15401	ENST00000545606.5
OG0000989	rna16900	ENST00000619221.4
OG0000989	rna15403	ENST00000359742.8
OG0000990	rna16912	ENST00000285018.4
OG0000990	rna41267	ENST00000409496.7
OG0000991	rna4790	ENST00000260653.4
OG0000991	rna42409	ENST00000327720.5
OG0000992	rna42428	ENST00000332981.9
OG0000992	rna4782	ENST00000556347.1, ENST00000306156.7
OG0000993	rna4777	ENST00000238738.8
OG0000993	rna49205, rna49128	ENST00000316754.7
OG0000994	rna4734	ENST00000403751.7, ENST00000405008.5, ENST00000404752.5
OG0000995	rna4544	ENST00000358912.4
OG0000995	rna42291	ENST00000267460.8
OG0000996	rna45228	ENST00000311481.10
OG0000996	rna4520	ENST00000409784.7
OG0000997	rna4491	ENST00000409752.5
OG0000997	rna21989	ENST00000374806.1, ENST00000406334.3
OG0000998	rna26577	ENST00000396051.2
OG0000998	rna4289	ENST00000396049.4
OG0000999	rna15074, rna13334, rna4199	ENST00000552085.1
OG0001000	rna23988	ENST00000313386.8
OG0001000	rna4127	ENST00000283632.4
OG0001001	rna32016	ENST00000382152.6
OG0001001	rna3980	ENST00000295225.9
OG0001002	rna3912	ENST00000263881.7
OG0001002	rna31095	ENST00000013125.8
OG0001003	rna3904	ENST00000426016.5
OG0001003	rna31077	ENST00000216373.9
OG0001004	rna3838	ENST00000233099.5
OG0001004	rna30887	ENST00000543095.6
OG0001005	rna10545	ENST00000424526.5
OG0001005	rna3437	ENST00000381486.6
OG0001006	rna10542	ENST00000399799.2
OG0001006	rna3427	ENST00000315872.10
OG0001007	rna3281	ENST00000252804.8
OG0001007	rna34377	ENST00000356297.4
OG0001008	rna3274	ENST00000403610.8
OG0001008	rna34370	ENST00000358543.8
OG0001009	rna31395	ENST00000324460.6
OG0001010	rna36132, rna36133	ENST00000322059.1
OG0001012	rna6795, rna37440	ENST00000409982.1, ENST00000409259.1
OG0001013	rna35416	ENST00000366937.5
OG0001013	rna37774	ENST00000380887.6
OG0001014	rna18475	ENST00000399002.6
OG0001014	rna37733	ENST00000216484.6
OG0001015	rna45443	ENST00000334205.8
OG0001015	rna33209	ENST00000614987.4
OG0001016	rna33026	ENST00000330710.9
OG0001016	rna35334	ENST00000343410.6
OG0001017	rna25995	ENST00000323699.8
OG0001017	rna33018	ENST00000305631.6
OG0001018	rna32729	ENST00000536364.5
OG0001018	rna18482	ENST00000405977.5
OG0001019	rna45237	ENST00000320580.8
OG0001019	rna32724	ENST00000447393.5
OG0001020	rna50304	ENST00000305877.12
OG0001020	rna35921	ENST00000574437.5
OG0001022	rna48517	ENST00000427926.5
OG0001022	rna35545	ENST00000621829.4
OG0001023	rna33516	ENST00000263025.8
OG0001023	rna50236	ENST00000215832.10
OG0001024	rna48615	ENST00000587862.5
OG0001024	rna19473	ENST00000355937.8
OG0001025	rna10447	ENST00000389658.3
OG0001025	rna20525	ENST00000421865.2
OG0001026	rna19496	ENST00000370873.8
OG0001026	rna10628	ENST00000308268.10
OG0001027	rna19491	ENST00000614565.4
OG0001027	rna10639	ENST00000269141.7
OG0001028	rna53771, rna53939, rna53545, rna54380, rna54109, rna53317	ENST00000585156.5
OG0001029	rna11156	ENST00000426216.6
OG0001029	rna19383	ENST00000338821.5
OG0001030	rna7307	ENST00000493476.1
OG0001030	rna11959	ENST00000491660.1
OG0001032	rna33530	ENST00000350119.8
OG0001032	rna35953	ENST00000613549.2
OG0001033	rna1763	ENST00000258787.11
OG0001033	rna35724	ENST00000318217.9
OG0001034	rna30433	ENST00000262013.11
OG0001034	rna47623	ENST00000610761.1
OG0001035	rna38637	ENST00000399410.7
OG0001035	rna30417	ENST00000285238.12
OG0001036	rna30309	ENST00000239165.8
OG0001036	rna2555	ENST00000242159.4
OG0001037	rna30232	ENST00000619039.4
OG0001037	rna40734	ENST00000376573.8
OG0001038	rna3085	ENST00000393054.5
OG0001038	rna29977	ENST00000264649.10
OG0001039	rna29957	ENST00000251412.7
OG0001039	rna29959	ENST00000251413.7
OG0001040	rna40915	ENST00000320356.6
OG0001040	rna29943	ENST00000428826.6
OG0001041	rna29785	ENST00000592782.5
OG0001041	rna40848	ENST00000378165.8
OG0001042	rna50978	ENST00000284523.1
OG0001042	rna29733	ENST00000225512.5
OG0001043	rna29700	ENST00000572316.5
OG0001043	rna16018	ENST00000395869.5
OG0001044	rna29599	ENST00000262435.13
OG0001044	rna34106	ENST00000361125.1
OG0001045	rna46321	ENST00000245552.6
OG0001045	rna39685	ENST00000616989.1
OG0001046	rna39655	ENST00000316843.8
OG0001046	rna46286	ENST00000392550.7
OG0001047	rna39637	ENST00000268835.6
OG0001047	rna46224	ENST00000446526.7
OG0001048	rna46184	ENST00000392476.6
OG0001048	rna38797	ENST00000251170.11
OG0001049	rna34189	ENST00000382361.7
OG0001049	rna46026	ENST00000334850.7
OG0001050	rna45977	ENST00000310496.8
OG0001050	rna51443	ENST00000222725.9
OG0001051	rna45952	ENST00000392341.5
OG0001051	rna41549	ENST00000320521.9
OG0001052	rna19436	ENST00000319441.5
OG0001052	rna48762	ENST00000216780.8
OG0001053	rna19110	ENST00000341458.8
OG0001053	rna20614	ENST00000367858.9
OG0001054	rna18653	ENST00000358864.1
OG0001054	rna37702	ENST00000297784.9
OG0001055	rna24415	ENST00000353963.7
OG0001055	rna18545	ENST00000338244.5
OG0001056	rna26356	ENST00000295887.5
OG0001056	rna18539	ENST00000460006.5
OG0001057	rna42346	ENST00000343279.8
OG0001057	rna18510	ENST00000217289.8
OG0001058	rna18503	ENST00000338037.10
OG0001058	rna45458	ENST00000279230.10
OG0001059	rna18407	ENST00000262544.6
OG0001059	rna30990	ENST00000307712.10
OG0001060	rna39172	ENST00000158771.8
OG0001060	rna50258	ENST00000406855.7
OG0001061	rna39242	ENST00000251535.10
OG0001061	rna39239	ENST00000570836.5
OG0001062	rna1447	ENST00000313143.7
OG0001062	rna39268	ENST00000005340.9
OG0001063	rna39366, rna36370	ENST00000254854.4
OG0001064	rna36945	ENST00000375337.3
OG0001064	rna36944	ENST00000375326.8
OG0001065	rna54271, rna54270	ENST00000395079.2
OG0001066	rna23840, rna21045	ENST00000328275.1
OG0001066	rna23839	ENST00000329365.2
OG0001067	rna18368	ENST00000441493.6
OG0001067	rna49068	ENST00000256194.8
OG0001068	rna1522	ENST00000263966.7
OG0001068	rna18134	ENST00000229268.12
OG0001069	rna49590	ENST00000528429.5
OG0001069	rna17791	ENST00000451604.6
OG0001070	rna17659	ENST00000536562.5
OG0001070	rna48433	ENST00000328194.7
OG0001071	rna17436	ENST00000307885.4
OG0001071	rna1053	ENST00000462833.5
OG0001072	rna17370	ENST00000552699.5
OG0001073	rna17258	ENST00000541224.5
OG0001073	rna22034	ENST00000552516.5
OG0001074	rna29384	ENST00000329773.2, ENST00000302797.4, ENST00000314254.3, ENST00000396275.2, ENST00000389832.5, ENST00000377127.4
OG0001075	rna29316	ENST00000358117.9
OG0001075	rna41318	ENST00000417669.6
OG0001076	rna14898	ENST00000008527.9
OG0001076	rna29151	ENST00000443527.6
OG0001077	rna29140	ENST00000531526.5
OG0001077	rna14877	ENST00000354992.6
OG0001078	rna3073	ENST00000424189.6
OG0001078	rna29128	ENST00000454345.5
OG0001079	rna29025	ENST00000531165.5
OG0001079	rna40466	ENST00000632065.1
OG0001080	rna54311, rna54316	ENST00000278409.1
OG0001081	rna49460, rna49467	ENST00000611865.4
OG0001082	rna45103	ENST00000614849.4
OG0001082	rna45107	ENST00000530069.5
OG0001083	rna41135	ENST00000405237.7
OG0001083	rna45067	ENST00000265641.9
OG0001084	rna23963	ENST00000409170.3
OG0001084	rna31051	ENST00000298289.6
OG0001085	rna31821, rna54378, rna54376	ENST00000479141.5
OG0001086	rna48354, rna48355	ENST00000307322.4, ENST00000299454.4
OG0001087	rna34169	ENST00000405858.5
OG0001087	rna34174	ENST00000353796.7
OG0001088	rna34069	ENST00000449309.1
OG0001088	rna31944	ENST00000432999.6, ENST00000622362.1
OG0001089	rna1530	ENST00000429709.6
OG0001089	rna33962	ENST00000160382.9
OG0001090	rna33829	ENST00000222812.7
OG0001090	rna33660	ENST00000215095.10
OG0001091	rna40891	ENST00000327347.9
OG0001091	rna33597	ENST00000478753.4
OG0001092	rna38772	ENST00000268261.8
OG0001092	rna41405	ENST00000216259.7
OG0001093	rna41431	ENST00000263253.8
OG0001093	rna38876	ENST00000262367.9
OG0001094	rna41593	ENST00000610913.1
OG0001094	rna47579	ENST00000293897.5
OG0001095	rna28697	ENST00000368911.7
OG0001095	rna6914	ENST00000381527.7
OG0001096	rna20782	ENST00000321680.10
OG0001096	rna996	ENST00000273666.10
OG0001097	rna20976	ENST00000366953.7
OG0001097	rna20975	ENST00000366963.8
OG0001098	rna27797	ENST00000517671.5
OG0001099	rna21842	ENST00000615299.4
OG0001099	rna21841	ENST00000227758.6
OG0001100	rna21829, rna21831	ENST00000315274.6
OG0001101	rna174	ENST00000398341.7
OG0001101	rna21300	ENST00000308074.4
OG0001102	rna21210	ENST00000527786.6
