Orthogroup	homSap.longCDS.prots	ursArc.longCDS.prots
OG0000973	ENST00000292301.4	rna15998
OG0000973	ENST00000292303.4	rna15999
OG0000974	ENST00000550164.5	rna15627
OG0000974	ENST00000254480.9	rna16054
OG0000975	ENST00000265560.8	rna16174
OG0000975	ENST00000280377.9	rna15455
OG0000976	ENST00000266037.9	rna16284
OG0000976	ENST00000445943.5	rna2728
OG0000977	ENST00000395052.7	rna16299
OG0000977	ENST00000361669.6	rna2056
OG0000978	ENST00000495880.1	rna16323
OG0000978	ENST00000279488.7	rna15184
OG0000979	ENST00000422318.6	rna16347
OG0000979	ENST00000392876.7	rna14971
OG0000980	ENST00000394729.6	rna16395
OG0000980	ENST00000263125.9	rna40425
OG0000981	ENST00000586184.5	rna18328
OG0000981	ENST00000415676.6	rna16416
OG0000982	ENST00000474267.5	rna16418
OG0000982	ENST00000537031.5	rna18322
OG0000983	ENST00000303436.10	rna16454
OG0000983	ENST00000000233.9	rna2870
OG0000984	ENST00000311128.9	rna16456
OG0000984	ENST00000413817.7	rna41163
OG0000985	ENST00000615869.4	rna2824
OG0000985	ENST00000383710.8	rna16549
OG0000986	ENST00000389420.7	rna17563
OG0000986	ENST00000498707.5	rna16577
OG0000987	ENST00000402939.6	rna16593
OG0000987	ENST00000354212.8	rna2024
OG0000988	ENST00000456430.6	rna16858
OG0000988	ENST00000545606.5	rna15401
OG0000989	ENST00000619221.4	rna16900
OG0000989	ENST00000359742.8	rna15403
OG0000990	ENST00000285018.4	rna16912
OG0000990	ENST00000409496.7	rna41267
OG0000991	ENST00000260653.4	rna4790
OG0000991	ENST00000327720.5	rna42409
OG0000992	ENST00000332981.9	rna42428
OG0000992	ENST00000556347.1, ENST00000306156.7	rna4782
OG0000993	ENST00000238738.8	rna4777
OG0000993	ENST00000316754.7	rna49205, rna49128
OG0000994	ENST00000403751.7, ENST00000405008.5, ENST00000404752.5	rna4734
OG0000995	ENST00000358912.4	rna4544
OG0000995	ENST00000267460.8	rna42291
OG0000996	ENST00000311481.10	rna45228
OG0000996	ENST00000409784.7	rna4520
OG0000997	ENST00000409752.5	rna4491
OG0000997	ENST00000374806.1, ENST00000406334.3	rna21989
OG0000998	ENST00000396051.2	rna26577
OG0000998	ENST00000396049.4	rna4289
OG0000999	ENST00000552085.1	rna15074, rna13334, rna4199
OG0001000	ENST00000313386.8	rna23988
OG0001000	ENST00000283632.4	rna4127
OG0001001	ENST00000382152.6	rna32016
OG0001001	ENST00000295225.9	rna3980
OG0001002	ENST00000263881.7	rna3912
OG0001002	ENST00000013125.8	rna31095
OG0001003	ENST00000426016.5	rna3904
OG0001003	ENST00000216373.9	rna31077
OG0001004	ENST00000233099.5	rna3838
OG0001004	ENST00000543095.6	rna30887
OG0001005	ENST00000424526.5	rna10545
OG0001005	ENST00000381486.6	rna3437
OG0001006	ENST00000399799.2	rna10542
OG0001006	ENST00000315872.10	rna3427
OG0001007	ENST00000252804.8	rna3281
OG0001007	ENST00000356297.4	rna34377
OG0001008	ENST00000403610.8	rna3274
OG0001008	ENST00000358543.8	rna34370
OG0001009	ENST00000324460.6	rna31395
OG0001010	ENST00000322059.1	rna36132, rna36133
OG0001012	ENST00000409982.1, ENST00000409259.1	rna6795, rna37440
OG0001013	ENST00000366937.5	rna35416
OG0001013	ENST00000380887.6	rna37774
OG0001014	ENST00000399002.6	rna18475
OG0001014	ENST00000216484.6	rna37733
OG0001015	ENST00000334205.8	rna45443
OG0001015	ENST00000614987.4	rna33209
OG0001016	ENST00000330710.9	rna33026
OG0001016	ENST00000343410.6	rna35334
OG0001017	ENST00000323699.8	rna25995
OG0001017	ENST00000305631.6	rna33018
OG0001018	ENST00000536364.5	rna32729
OG0001018	ENST00000405977.5	rna18482
OG0001019	ENST00000320580.8	rna45237
OG0001019	ENST00000447393.5	rna32724
OG0001020	ENST00000305877.12	rna50304
OG0001020	ENST00000574437.5	rna35921
OG0001022	ENST00000427926.5	rna48517
OG0001022	ENST00000621829.4	rna35545
OG0001023	ENST00000263025.8	rna33516
OG0001023	ENST00000215832.10	rna50236
OG0001024	ENST00000587862.5	rna48615
OG0001024	ENST00000355937.8	rna19473
OG0001025	ENST00000389658.3	rna10447
OG0001025	ENST00000421865.2	rna20525
OG0001026	ENST00000370873.8	rna19496
OG0001026	ENST00000308268.10	rna10628
OG0001027	ENST00000614565.4	rna19491
OG0001027	ENST00000269141.7	rna10639
OG0001028	ENST00000585156.5	rna53771, rna53939, rna53545, rna54380, rna54109, rna53317
OG0001029	ENST00000426216.6	rna11156
OG0001029	ENST00000338821.5	rna19383
OG0001030	ENST00000493476.1	rna7307
OG0001030	ENST00000491660.1	rna11959
OG0001032	ENST00000350119.8	rna33530
OG0001032	ENST00000613549.2	rna35953
OG0001033	ENST00000258787.11	rna1763
OG0001033	ENST00000318217.9	rna35724
OG0001034	ENST00000262013.11	rna30433
OG0001034	ENST00000610761.1	rna47623
OG0001035	ENST00000399410.7	rna38637
OG0001035	ENST00000285238.12	rna30417
OG0001036	ENST00000239165.8	rna30309
OG0001036	ENST00000242159.4	rna2555
OG0001037	ENST00000619039.4	rna30232
OG0001037	ENST00000376573.8	rna40734
OG0001038	ENST00000393054.5	rna3085
OG0001038	ENST00000264649.10	rna29977
OG0001039	ENST00000251412.7	rna29957
OG0001039	ENST00000251413.7	rna29959
OG0001040	ENST00000320356.6	rna40915
OG0001040	ENST00000428826.6	rna29943
OG0001041	ENST00000592782.5	rna29785
OG0001041	ENST00000378165.8	rna40848
OG0001042	ENST00000284523.1	rna50978
OG0001042	ENST00000225512.5	rna29733
OG0001043	ENST00000572316.5	rna29700
OG0001043	ENST00000395869.5	rna16018
OG0001044	ENST00000262435.13	rna29599
OG0001044	ENST00000361125.1	rna34106
OG0001045	ENST00000245552.6	rna46321
OG0001045	ENST00000616989.1	rna39685
OG0001046	ENST00000316843.8	rna39655
OG0001046	ENST00000392550.7	rna46286
OG0001047	ENST00000268835.6	rna39637
OG0001047	ENST00000446526.7	rna46224
OG0001048	ENST00000392476.6	rna46184
OG0001048	ENST00000251170.11	rna38797
OG0001049	ENST00000382361.7	rna34189
OG0001049	ENST00000334850.7	rna46026
OG0001050	ENST00000310496.8	rna45977
OG0001050	ENST00000222725.9	rna51443
OG0001051	ENST00000392341.5	rna45952
OG0001051	ENST00000320521.9	rna41549
OG0001052	ENST00000319441.5	rna19436
OG0001052	ENST00000216780.8	rna48762
OG0001053	ENST00000341458.8	rna19110
OG0001053	ENST00000367858.9	rna20614
OG0001054	ENST00000358864.1	rna18653
OG0001054	ENST00000297784.9	rna37702
OG0001055	ENST00000353963.7	rna24415
OG0001055	ENST00000338244.5	rna18545
OG0001056	ENST00000295887.5	rna26356
OG0001056	ENST00000460006.5	rna18539
OG0001057	ENST00000343279.8	rna42346
OG0001057	ENST00000217289.8	rna18510
OG0001058	ENST00000338037.10	rna18503
OG0001058	ENST00000279230.10	rna45458
OG0001059	ENST00000262544.6	rna18407
OG0001059	ENST00000307712.10	rna30990
OG0001060	ENST00000158771.8	rna39172
OG0001060	ENST00000406855.7	rna50258
OG0001061	ENST00000251535.10	rna39242
OG0001061	ENST00000570836.5	rna39239
OG0001062	ENST00000313143.7	rna1447
OG0001062	ENST00000005340.9	rna39268
OG0001063	ENST00000254854.4	rna39366, rna36370
OG0001064	ENST00000375337.3	rna36945
OG0001064	ENST00000375326.8	rna36944
OG0001065	ENST00000395079.2	rna54271, rna54270
OG0001066	ENST00000328275.1	rna23840, rna21045
OG0001066	ENST00000329365.2	rna23839
OG0001067	ENST00000441493.6	rna18368
OG0001067	ENST00000256194.8	rna49068
OG0001068	ENST00000263966.7	rna1522
OG0001068	ENST00000229268.12	rna18134
OG0001069	ENST00000528429.5	rna49590
OG0001069	ENST00000451604.6	rna17791
OG0001070	ENST00000536562.5	rna17659
OG0001070	ENST00000328194.7	rna48433
OG0001071	ENST00000307885.4	rna17436
OG0001071	ENST00000462833.5	rna1053
OG0001072	ENST00000552699.5	rna17370
OG0001073	ENST00000541224.5	rna17258
OG0001073	ENST00000552516.5	rna22034
OG0001074	ENST00000329773.2, ENST00000302797.4, ENST00000314254.3, ENST00000396275.2, ENST00000389832.5, ENST00000377127.4	rna29384
OG0001075	ENST00000358117.9	rna29316
OG0001075	ENST00000417669.6	rna41318
OG0001076	ENST00000008527.9	rna14898
OG0001076	ENST00000443527.6	rna29151
OG0001077	ENST00000531526.5	rna29140
OG0001077	ENST00000354992.6	rna14877
OG0001078	ENST00000424189.6	rna3073
OG0001078	ENST00000454345.5	rna29128
OG0001079	ENST00000531165.5	rna29025
OG0001079	ENST00000632065.1	rna40466
OG0001080	ENST00000278409.1	rna54311, rna54316
OG0001081	ENST00000611865.4	rna49460, rna49467
OG0001082	ENST00000614849.4	rna45103
OG0001082	ENST00000530069.5	rna45107
OG0001083	ENST00000405237.7	rna41135
OG0001083	ENST00000265641.9	rna45067
OG0001084	ENST00000409170.3	rna23963
OG0001084	ENST00000298289.6	rna31051
OG0001085	ENST00000479141.5	rna31821, rna54378, rna54376
OG0001086	ENST00000307322.4, ENST00000299454.4	rna48354, rna48355
OG0001087	ENST00000405858.5	rna34169
OG0001087	ENST00000353796.7	rna34174
OG0001088	ENST00000449309.1	rna34069
OG0001088	ENST00000432999.6, ENST00000622362.1	rna31944
OG0001089	ENST00000429709.6	rna1530
OG0001089	ENST00000160382.9	rna33962
OG0001090	ENST00000222812.7	rna33829
OG0001090	ENST00000215095.10	rna33660
OG0001091	ENST00000327347.9	rna40891
OG0001091	ENST00000478753.4	rna33597
OG0001092	ENST00000268261.8	rna38772
OG0001092	ENST00000216259.7	rna41405
OG0001093	ENST00000263253.8	rna41431
OG0001093	ENST00000262367.9	rna38876
OG0001094	ENST00000610913.1	rna41593
OG0001094	ENST00000293897.5	rna47579
OG0001095	ENST00000368911.7	rna28697
OG0001095	ENST00000381527.7	rna6914
OG0001096	ENST00000321680.10	rna20782
OG0001096	ENST00000273666.10	rna996
OG0001097	ENST00000366953.7	rna20976
OG0001097	ENST00000366963.8	rna20975
OG0001098	ENST00000517671.5	rna27797
OG0001099	ENST00000615299.4	rna21842
OG0001099	ENST00000227758.6	rna21841
OG0001100	ENST00000315274.6	rna21829, rna21831
OG0001101	ENST00000398341.7	rna174
OG0001101	ENST00000308074.4	rna21300
OG0001102	ENST00000527786.6	rna21210
OG0001102	ENST00000417133.6	rna237
OG0001103	ENST00000409314.5	rna36247
OG0001103	ENST00000435817.6	rna14146
OG0001105	ENST00000508593.5	rna25151
OG0001105	ENST00000389906.6	rna48329
OG0001106	ENST00000360759.3, ENST00000623991.1	rna48395, rna54377
OG0001107	ENST00000256190.12	rna48457
OG0001107	ENST00000380817.7	rna41151
OG0001108	ENST00000361833.6	rna25737
OG0001108	ENST00000313400.8	rna31236
OG0001109	ENST00000361539.4	rna25736
OG0001109	ENST00000367462.4	rna35424
OG0001110	ENST00000367635.7	rna25723
OG0001110	ENST00000259351.9	rna31424
OG0001111	ENST00000367468.9	rna25686
OG0001111	ENST00000619306.4	rna31311
OG0001112	ENST00000263726.3	rna25570
OG0001112	ENST00000371746.7	rna31837
OG0001113	ENST00000446480.5	rna31368
OG0001113	ENST00000367387.5	rna42742
OG0001114	ENST00000373600.7	rna31371
OG0001114	ENST00000367385.8	rna42741
OG0001115	ENST00000552330.5	rna15272
OG0001115	ENST00000367306.5	rna42677
OG0001116	ENST00000366910.9	rna35353
OG0001116	ENST00000366913.7	rna35355
OG0001117	ENST00000368147.8	rna49748
OG0001117	ENST00000630866.1	rna31549
OG0001118	ENST00000368680.3	rna47399
OG0001118	ENST00000342694.6	rna22162
OG0001119	ENST00000354700.9	rna38507
OG0001119	ENST00000326793.10	rna1226
OG0001120	ENST00000340059.11	rna12025
OG0001120	ENST00000419816.6	rna38426
OG0001121	ENST00000471841.5	rna1535
OG0001121	ENST00000444836.5	rna38177
OG0001122	ENST00000398844.6	rna24306
OG0001122	ENST00000504968.6	rna14240
OG0001123	ENST00000308158.9	rna23977
OG0001123	ENST00000296486.7	rna14227
OG0001124	ENST00000296422.11	rna26129
OG0001124	ENST00000362026.7	rna26126
OG0001125	ENST00000261951.8	rna23907
OG0001125	ENST00000512485.5	rna26462
OG0001126	ENST00000282344.10	rna6922
OG0001126	ENST00000441222.7	rna25275
OG0001127	ENST00000295448.7	rna25201
OG0001127	ENST00000505689.5	rna14126
OG0001128	ENST00000308979.6	rna25097
OG0001128	ENST00000436693.6	rna25098
OG0001129	ENST00000320848.6, ENST00000320912.8	rna48068, rna48074
OG0001130	ENST00000261574.9	rna7578
OG0001130	ENST00000259569.5	rna22570
OG0001131	ENST00000374767.4	rna21964
OG0001131	ENST00000374762.3	rna21959
OG0001132	ENST00000351698.4	rna31645
OG0001132	ENST00000259339.6	rna31644
OG0001133	ENST00000430805.6	rna7231
OG0001133	ENST00000258646.3	rna7198
OG0001134	ENST00000379483.3	rna7356
OG0001134	ENST00000379485.1	rna7357
OG0001135	ENST00000377208.6	rna7488
OG0001135	ENST00000230732.4	rna14074
OG0001137	ENST00000216341.8	rna48833
OG0001137	ENST00000216338.8	rna48831
OG0001138	ENST00000390437.2, ENST00000390433.1, ENST00000390442.3	id581361
OG0001139	ENST00000323319.6, ENST00000541814.1	rna24893, rna24894
OG0001140	ENST00000403665.6	rna25017
OG0001140	ENST00000511608.5	rna25015
OG0001142	ENST00000398600.6	rna207
OG0001142	ENST00000330714.7	rna210
OG0001143	ENST00000296252.8	rna1393
OG0001143	ENST00000344577.6	rna556
OG0001144	ENST00000332191.12	rna558
OG0001144	ENST00000464233.5	rna563
OG0001145	ENST00000344204.8	rna22708
OG0001145	ENST00000360013.7	rna1072
OG0001146	ENST00000232892.11	rna11977
OG0001146	ENST00000356517.3	rna11976
OG0001147	ENST00000348438.8	rna2629
OG0001147	ENST00000398285.7, ENST00000634540.1	rna29728
OG0001148	ENST00000324472.8	rna2680
OG0001148	ENST00000638088.1	rna2679
OG0001149	ENST00000265310.5	rna3210
OG0001149	ENST00000359396.7	rna3209
OG0001150	ENST00000361355.8, ENST00000622339.4, ENST00000370079.3, ENST00000370080.7, ENST00000370083.8	rna12170
OG0001151	ENST00000317861.1	rna23780
OG0001152	ENST00000355728.2	rna23783
OG0001152	ENST00000366474.1	rna23784
OG0001153	ENST00000343414.5	rna23796
OG0001153	ENST00000320065.1	rna51021
OG0001155	ENST00000340184.8, ENST00000342868.6, ENST00000244519.6, ENST00000527422.5, ENST00000289361.10, ENST00000327705.13	rna23833
OG0001156	ENST00000230771.7	rna24493
OG0001156	ENST00000504156.5	rna24492
OG0001157	ENST00000457222.6, ENST00000451548.5, ENST00000320701.8, ENST00000428845.6, ENST00000287721.13, ENST00000426950.6	rna53874, rna53297, rna53463
OG0001164	ENST00000316448.9	rna50433
OG0001165	ENST00000523483.5	rna34312
OG0001166	ENST00000373586.1	rna34695
OG0001167	ENST00000617690.2	rna34446
OG0001167	ENST00000404666.6	rna3466
OG0001168	ENST00000262746.5	rna13093
OG0001169	ENST00000620131.1, ENST00000371904.8, ENST00000334194.3	rna53918
OG0001170	ENST00000236495.9	rna13009
OG0001170	ENST00000395647.6	rna39635
OG0001171	ENST00000320756.6	rna17982
OG0001171	ENST00000371470.7	rna12913
OG0001172	ENST00000357731.9	rna12609
OG0001172	ENST00000333617.8	rna926
OG0001173	ENST00000249344.6	rna2932
OG0001173	ENST00000369795.7	rna46779
OG0001174	ENST00000373025.7	rna23632
OG0001175	ENST00000327473.8	rna43134
OG0001175	ENST00000368910.3	rna48938
OG0001176	ENST00000388718.5	rna48864
OG0001177	ENST00000389484.7	rna26648
OG0001177	ENST00000243077.7	rna15548
OG0001178	ENST00000408978.8	rna6490
OG0001178	ENST00000265944.9	rna40703
OG0001179	ENST00000424728.5	rna6242, rna39035
OG0001180	ENST00000374694.2	rna45508
OG0001180	ENST00000295417.3	rna5842
OG0001181	ENST00000275493.6	rna1689
OG0001181	ENST00000342788.8	rna5786
OG0001182	ENST00000375375.7	rna38051
OG0001182	ENST00000392069.6	rna5581
OG0001183	ENST00000412128.1	rna5420
OG0001184	ENST00000331483.8	rna46002
OG0001185	ENST00000539945.5	rna4554
OG0001187	ENST00000553521.5	rna37991
OG0001188	ENST00000273223.10	rna16859
OG0001189	ENST00000268125.9	rna27169
OG0001190	ENST00000343948.8	rna32146
OG0001190	ENST00000434748.2	rna32150
OG0001191	ENST00000448750.7	rna32195
OG0001192	ENST00000596272.5	rna15873
OG0001193	ENST00000223167.4	rna33908
OG0001193	ENST00000228841.12	rna32448
OG0001194	ENST00000261716.7	rna35877
OG0001194	ENST00000419821.6	rna32559
OG0001195	ENST00000406486.8	rna46865
OG0001196	ENST00000216101.6	rna46937
OG0001196	ENST00000603017.1	rna35689
OG0001198	ENST00000316199.10	rna39397
OG0001200	ENST00000560055.5	rna50918
OG0001202	ENST00000270590.4, ENST00000339223.4, ENST00000340023.6, ENST00000595042.5	rna50618
OG0001203	ENST00000321424.7, ENST00000317643.10, ENST00000440804.7, ENST00000291707.7, ENST00000425629.7	rna50675
OG0001204	ENST00000391958.6	rna44160
OG0001204	ENST00000621083.4	rna44161
OG0001205	ENST00000476166.5	rna43664
OG0001205	ENST00000604255.5	rna46509
OG0001206	ENST00000311303.7	rna8846
OG0001206	ENST00000334444.10	rna1450
OG0001207	ENST00000219833.12	rna8951
OG0001207	ENST00000270349.11	rna22623
OG0001208	ENST00000259915.12, ENST00000465342.3	rna28243
OG0001209	ENST00000282849.9	rna9508
OG0001209	ENST00000274181.7	rna22638
OG0001210	ENST00000433866.6	rna9590
OG0001211	ENST00000309893.3	rna8740
OG0001212	ENST00000311528.9	rna8676
OG0001213	ENST00000300026.3	rna39958
OG0001216	ENST00000331872.10	rna25599
OG0001217	ENST00000237163.9	rna23058
OG0001218	ENST00000318749.7	rna53824
OG0001219	ENST00000267970.8	rna40325
OG0001220	ENST00000383036.1, ENST00000380712.7	rna39791, rna53424
OG0001221	ENST00000316715.8	rna39753
OG0001222	ENST00000429584.2	rna42144
OG0001222	ENST00000262238.8	rna33017
OG0001223	ENST00000602297.1	rna42098, rna42099
OG0001224	ENST00000357033.8	rna30531
OG0001224	ENST00000367545.7	rna20754
OG0001225	ENST00000625837.2	rna30619
OG0001225	ENST00000360160.8	rna52372
OG0001226	ENST00000611820.4	rna30659
OG0001226	ENST00000545955.5	rna52373
OG0001227	ENST00000337852.10	rna30771
OG0001227	ENST00000354919.10	rna40860
OG0001228	ENST00000374971.1, ENST00000374968.8, ENST00000289619.9, ENST00000376141.5, ENST00000374951.5	rna30840
OG0001229	ENST00000544091.1	rna42044, rna42046
OG0001230	ENST00000572383.1	rna39210
OG0001231	ENST00000372780.5, ENST00000372629.4	rna53277
OG0001232	ENST00000265339.6	rna24285
OG0001232	ENST00000371558.6	rna40676
OG0001233	ENST00000415076.6	rna1819, rna38987
OG0001234	ENST00000639893.1	rna53357
OG0001234	ENST00000311234.8	rna7157
OG0001235	ENST00000376387.4	rna7618, rna41627
OG0001236	ENST00000346299.9	rna21057
OG0001236	ENST00000445323.6	rna49880
OG0001237	ENST00000218104.5	rna51680
OG0001237	ENST00000308666.3	rna17601
OG0001238	ENST00000369951.8, ENST00000369929.8, ENST00000599405.3, ENST00000595290.5	rna51647
OG0001239	ENST00000283290.9	rna841
OG0001241	ENST00000408939.3, ENST00000355689.5	rna6342, rna6341
OG0001242	ENST00000619352.4	rna34894
OG0001243	ENST00000263574.9	rna21188
OG0001244	ENST00000400752.5	rna54221, rna54219
OG0001247	ENST00000274764.4	rna28210, rna28207
OG0001248	ENST00000379052.9	rna28568
OG0001248	ENST00000356208.9	rna19433
OG0001249	ENST00000495262.5	rna28480, rna28481
OG0001250	ENST00000426790.1, ENST00000544303.1, ENST00000306609.4, ENST00000306882.4, ENST00000328908.9	rna28420
OG0001251	ENST00000639725.1, ENST00000344700.7	rna44741
OG0001252	ENST00000330651.10	rna41176
OG0001252	ENST00000229795.7	rna44812
OG0001253	ENST00000325881.8	rna39956
OG0001253	ENST00000395451.8	rna24103
OG0001254	ENST00000368567.4	rna47367
OG0001254	ENST00000462430.5	rna36885, rna50690
OG0001255	ENST00000539542.5	rna24056
OG0001255	ENST00000543779.6	rna36675
OG0001256	ENST00000297109.10	rna27624
OG0001256	ENST00000296504.3	rna37105
OG0001257	ENST00000329314.5	rna14793
OG0001258	ENST00000394938.8	rna35840
OG0001259	ENST00000280481.8	rna7101
OG0001259	ENST00000329798.5	rna14553
OG0001260	ENST00000379406.7	rna7343
OG0001260	ENST00000296543.9	rna14501
OG0001261	ENST00000378788.3	rna22234, rna22233
OG0001262	ENST00000264613.10	rna11934, rna11936
OG0001263	ENST00000307839.9	rna11528
OG0001264	ENST00000555030.5	rna32781
OG0001265	ENST00000436261.5, ENST00000426540.5	rna11206
OG0001266	ENST00000415585.6	rna45668
OG0001266	ENST00000331173.5	rna19754
OG0001267	ENST00000366653.5	rna19849
OG0001267	ENST00000338969.9	rna31116
OG0001268	ENST00000634650.1	rna4343
OG0001268	ENST00000260762.10	rna43727
OG0001269	ENST00000424479.6	rna24553
OG0001269	ENST00000398250.5	rna8328
OG0001270	ENST00000494792.1, ENST00000368836.6	rna8417
OG0001271	ENST00000261751.7	rna27436
OG0001271	ENST00000636034.1	rna47325
OG0001272	ENST00000419573.7	rna27402
OG0001272	ENST00000265080.8	rna13685
OG0001273	ENST00000261721.8	rna27302
OG0001273	ENST00000255608.8	rna42967
OG0001274	ENST00000558397.1	rna34122, rna27277
OG0001275	ENST00000268070.8	rna27041
OG0001275	ENST00000274487.8	rna24168
OG0001276	ENST00000622483.4	rna27020
OG0001276	ENST00000545128.5	rna37070
OG0001277	ENST00000335968.7	rna27016
OG0001277	ENST00000455217.6	rna22776
OG0001278	ENST00000517490.5	rna10234
OG0001279	ENST00000521291.5	rna10045, rna33846, rna3374
OG0001280	ENST00000522368.5	rna9966
OG0001280	ENST00000360566.6	rna3399
OG0001281	ENST00000436393.6	rna9939
OG0001281	ENST00000521978.5	rna23186
OG0001282	ENST00000303924.4	rna9793
OG0001282	ENST00000569188.5	rna9304
OG0001283	ENST00000602676.6	rna42987
OG0001285	ENST00000222247.9	rna15813
OG0001286	ENST00000394253.7	rna23625
OG0001286	ENST00000258499.7	rna15077
OG0001287	ENST00000483017.7	rna32716
OG0001287	ENST00000274990.4	rna23543
OG0001289	ENST00000397581.6	rna22517
OG0001290	ENST00000329753.5, ENST00000381394.8, ENST00000333843.8, ENST00000381393.3, ENST00000636986.1	rna43250
OG0001291	ENST00000324060.2	rna43251, rna54343
OG0001292	ENST00000253107.11	rna43415
OG0001293	ENST00000265717.4	rna1922
OG0001293	ENST00000265563.12	rna16132
OG0001294	ENST00000546231.6	rna18312
OG0001295	ENST00000256460.7	rna16763
OG0001295	ENST00000619168.4	rna40497
OG0001296	ENST00000273450.7	rna17018
OG0001296	ENST00000258494.13	rna14941
OG0001297	ENST00000264972.9	rna4893
OG0001297	ENST00000375754.8	rna37492
OG0001298	ENST00000443120.5	rna4877
OG0001299	ENST00000247182.6	rna42411
OG0001299	ENST00000303077.6	rna4789
OG0001300	ENST00000356458.6	rna4689
OG0001300	ENST00000554922.5	rna33257
OG0001301	ENST00000357195.7	rna33031
OG0001301	ENST00000335712.10	rna4630
OG0001302	ENST00000217270.3	rna18537
OG0001302	ENST00000303786.4	rna4485
OG0001303	ENST00000303577.6	rna4405
OG0001303	ENST00000359462.9	rna17172
OG0001304	ENST00000346834.8	rna4287
OG0001304	ENST00000425175.5	rna26573
OG0001305	ENST00000393897.6, ENST00000409839.7	rna4206, rna4207
OG0001306	ENST00000331320.11	rna32717
OG0001306	ENST00000405094.1	rna3954
OG0001307	ENST00000395035.3	rna3909
OG0001307	ENST00000395834.5	rna31087
OG0001308	ENST00000295055.12	rna3763
OG0001308	ENST00000403897.3	rna3771
OG0001309	ENST00000302909.3	rna3634
OG0001309	ENST00000372861.4	rna19173
OG0001310	ENST00000340385.5	rna25813
OG0001311	ENST00000390428.3, ENST00000390466.1, ENST00000390449.3, ENST00000390445.2	id585563
OG0001313	ENST00000519374.5	rna27828, rna40954
OG0001314	ENST00000296674.12	rna13653
OG0001315	ENST00000238609.3	rna54398
OG0001315	ENST00000616764.4	rna54388, rna54399
OG0001316	ENST00000216277.12	rna33041
OG0001316	ENST00000404991.1	rna34205
OG0001317	ENST00000248923.8, ENST00000401924.5, ENST00000286890.8, ENST00000618722.4, ENST00000619998.1	rna50290
OG0001318	ENST00000332710.8	rna48533
OG0001319	ENST00000306084.6	rna10423
OG0001319	ENST00000374517.5	rna21888
OG0001320	ENST00000612714.1	rna52751, rna52835
OG0001321	ENST00000306851.9	rna10655
OG0001321	ENST00000371711.4	rna19327
OG0001322	ENST00000228468.8	rna17351
OG0001322	ENST00000225823.6	rna35719
OG0001323	ENST00000225275.3	rna35499
OG0001323	ENST00000225371.5	rna35492
OG0001324	ENST00000262065.7	rna30477
OG0001324	ENST00000404774.7	rna34203
OG0001325	ENST00000261381.6	rna38621
OG0001325	ENST00000017003.6	rna30386
OG0001326	ENST00000272164.5	rna50977
OG0001327	ENST00000392886.6, ENST00000309894.5, ENST00000332800.7, ENST00000329882.8, ENST00000323322.9	rna29632
OG0001328	ENST00000330459.7	rna24884, rna29597
OG0001329	ENST00000392650.7	rna29444
OG0001329	ENST00000404826.6	rna34214
OG0001330	ENST00000330793.1, ENST00000360141.7	rna29415, rna29420
OG0001332	ENST00000327490.7	rna38835, rna46228
OG0001333	ENST00000620528.4, ENST00000291577.10	rna122
OG0001334	ENST00000269299.7	rna39258
OG0001334	ENST00000254868.8	rna39254
OG0001335	ENST00000054666.10	rna38322
OG0001335	ENST00000488857.5	rna39385
OG0001336	ENST00000356521.8, ENST00000259199.8, ENST00000377391.7, ENST00000382405.7, ENST00000360171.10	rna37627
OG0001337	ENST00000306507.6, ENST00000382500.3, ENST00000377413.2, ENST00000377420.1, ENST00000622588.1, ENST00000342833.3	rna37629
OG0001339	ENST00000354833.7, ENST00000380750.7	rna13855
OG0001340	ENST00000395686.7	rna42358
OG0001340	ENST00000354619.9	rna19635
OG0001341	ENST00000259466.1, ENST00000373684.1	rna31334, rna31335
OG0001342	ENST00000229270.8	rna18132
OG0001343	ENST00000256958.2, ENST00000421593.6, ENST00000593147.5, ENST00000381545.7, ENST00000540229.1	rna17846
OG0001344	ENST00000458174.6	rna54373, rna45634, rna17761
OG0001345	ENST00000437801.6	rna17542
OG0001345	ENST00000298925.9	rna29362
OG0001346	ENST00000310248.3	rna17472, rna17473
OG0001347	ENST00000552218.5	rna17085
OG0001347	ENST00000621465.4	rna30284
OG0001348	ENST00000250018.6	rna49536
OG0001348	ENST00000333850.3	rna15313
OG0001349	ENST00000397909.6	rna15263
OG0001349	ENST00000527559.6	rna29372
OG0001350	ENST00000256737.7	rna29347
OG0001350	ENST00000392977.7	rna15013
OG0001351	ENST00000280758.9	rna14896
OG0001351	ENST00000435224.2	rna29258
OG0001352	ENST00000326855.2	rna54448, rna49400
OG0001353	ENST00000525380.1, ENST00000244930.5	rna50083, rna53773
OG0001354	ENST00000244926.3, ENST00000306238.3, ENST00000358585.2	rna50082
OG0001355	ENST00000362031.8	rna30920
OG0001355	ENST00000308342.6	rna45263
OG0001356	ENST00000534030.1	rna53648, rna53667
OG0001357	ENST00000223293.9	rna53487
OG0001358	ENST00000311591.3	rna49445
OG0001358	ENST00000335397.3	rna49444
OG0001359	ENST00000353411.10, ENST00000519718.1	rna24274
OG0001360	ENST00000198536.6	rna33991, rna34005
OG0001361	ENST00000379442.7	rna33931
OG0001361	ENST00000306151.8	rna33930
OG0001362	ENST00000262306.11	rna47757
OG0001363	ENST00000305447.4	rna36549
OG0001363	ENST00000361719.6	rna20772
